"rho","S","tmax","mean.mean","mean.sd","var.shape","var.rate","minS","maxS","ext","endT"
0.001,10,100,0.0846080994052354,0.238838789306301,3.77267114253439,0.950718935356383,6.912,13.03,0.024,56.6259833081622
0.00243414702251933,10,100,0.0689546762357353,0.294860244554858,4.08695078921429,1.7646740770802,5.622,15.2,0.138,79.1362365970504
0.00592507172723974,10,100,0.0253539682539683,0.395356534176623,4.1496106413875,3.99558677683998,4.058,17.84,0.342,91.1213890757024
0.0144224957030741,10,100,0.0297071428571429,0.635097857905994,3.8636447531787,9.39098654345756,3.254,22.236,0.51,95.4920744491008
0.0351064749729356,10,100,-0.0376047619047619,1.14003684879357,2.88925225154416,18.5119315095781,2.23,25.698,0.72,95.1513214190726
0.0854543215265208,10,100,-0.335135848694316,3.13439920931515,1.51221368360037,37.9175720810261,1.866,30.392,0.814,85.5259901158338
0.20800838230519,10,100,-1.04575668383615,10.19921287659,0.836609251482952,125.028982127304,1.594,37.912,0.866,65.5414108334579
0.506322984447242,10,100,-4.43067124024751,30.3163754949518,0.529594423132978,518.57297365122,1.388,38.558,0.914,38.7673243729979
1.23246458502536,10,100,-11.8040692640693,103.003545711405,0.567625481176953,13802.4365151648,1.284,45.798,0.942,23.7993425126947
3,10,100,-48.2266355641356,497.467515588227,0.380667358067609,92953.796530341,1.118,46.44,0.97,11.2982131446576
0.001,40,100,0.0491738095238095,0.326733868789165,4.82348187426889,3.34012407230501,33.544,46.832,0,86.422920665977
0.00243414702251933,40,100,-0.0094468253968254,0.463649393176655,6.04533532352328,9.96849279068087,29.318,50.4,0.01,94.2721917368006
0.00592507172723974,40,100,-0.0344722222222222,0.764607119182473,6.72045427149982,27.2731932924247,23.314,56.818,0.066,97.8338482730483
0.0144224957030741,40,100,-0.0917777777777778,1.20902228149928,6.25903298199511,64.9012990173786,16.45,65.108,0.248,99.0776254906529
0.0351064749729356,40,100,-0.004,2.34613000179102,4.2489593023619,131.402483954231,12.612,79.624,0.454,99.5307782634575
0.0854543215265208,40,100,-0.223,4.8429994063041,2.45116293674331,346.636526384691,8.198,92.216,0.654,99.6630896346394
0.20800838230519,40,100,-0.594922547332186,14.8410855018902,1.54750139245531,1758.26636410485,5.38,111.002,0.774,95.8324925557031
0.506322984447242,40,100,-10.0498495641426,49.9508493433181,1.28573547445626,14183.3639073827,3.502,124.692,0.872,79.1624822331764
1.23246458502536,40,100,-54.9918375766148,162.754363267625,0.637302357169974,41057.8568255043,2.374,140.768,0.908,54.2994448870327
3,40,100,-172.308059132093,642.983413973555,0.572496558754918,546137.356793763,1.818,155.234,0.952,32.0399954198827
0.001,70,100,0.0305031746031746,0.390830989467097,5.52221024088428,6.39395428762704,61.272,78.684,0,92.9445272821065
0.00243414702251933,70,100,0.0208214285714286,0.620294973890493,7.24628074563084,21.1494177196854,56.542,84.686,0,96.927731668136
0.00592507172723974,70,100,0.0353333333333333,0.990247078925291,7.27988995393675,53.3284116519894,46.812,92.318,0.022,98.7979535941526
0.0144224957030741,70,100,-0.01,1.68951861304293,7.41348928929832,139.44931149802,36.104,103.536,0.112,99.5055168157069
