"rho","S","tmax","mean.mean","mean.sd","var.shape","var.rate","minS","maxS","ext","endT"
0.001,10,1000,0.00698527154064283,0.0462009869275513,10.1653880246122,1.8485848493765,3.438,20.162,0.49,943.833512451509
0.00243414702251933,10,1000,0.000543372678187063,0.0670390110670227,6.6584973449801,2.65750725197507,2.522,23.558,0.67,960.52475906172
0.00592507172723974,10,1000,-0.0112780122453842,0.137791696582663,3.66770717185311,3.15987666273483,2.006,29.56,0.772,910.490613202062
0.0144224957030741,10,1000,-0.0689164175046323,0.295288416374654,2.38010149257389,5.31533400125906,1.772,33.834,0.838,740.318555249966
0.0351064749729356,10,1000,-0.352695676929181,0.69448862742986,1.52747378386362,12.5897602682376,1.36,36.88,0.908,509.637886406923
0.0854543215265208,10,1000,-1.34634296576174,1.87885408296895,1.05675295074606,32.1722272872185,1.328,41.434,0.938,297.260845839571
0.20800838230519,10,1000,-3.85864068371611,4.15193220337266,0.72591190681033,122.545198832789,1.138,44.026,0.97,161.525168253512
0.506322984447242,10,1000,-12.1773501395673,18.6146897318387,0.603272238159742,772.671139639525,1.11,53.194,0.972,74.0073955449698
1.23246458502536,10,1000,-35.8417821755286,67.994750560102,0.489776106837343,7121.95312137505,1.092,63.686,0.978,38.7107849937555
3,10,1000,-146.154685798979,232.805086411957,0.556467396807127,194454.462002411,1.04,51.944,0.99,15.3669784806819
0.001,40,1000,0.00183920410925436,0.0896493975062219,38.6454576864871,28.1004428911333,20.208,62.172,0.158,987.440108595835
0.00243414702251933,40,1000,0.00322403438528933,0.150366579501685,22.152726408688,38.5047027736801,14.57,74.606,0.352,994.163321923678
0.00592507172723974,40,1000,0.00622804432526181,0.24797769281291,11.3062186465452,50.1209175304529,8.91,85.466,0.598,996.816515936696
0.0144224957030741,40,1000,-0.0172784469615994,0.423572015853438,5.99995210638328,77.1280260805703,6.654,103.462,0.712,980.92536994863
0.0351064749729356,40,1000,-0.138282163577942,0.886348460197213,2.66858376015799,160.371557803163,4.492,120.64,0.824,866.951289740468
0.0854543215265208,40,1000,-1.00591174211866,2.53316160177866,1.51350313905391,525.072027378635,3.344,138.54,0.878,641.290731031313
0.20800838230519,40,1000,-5.35751773301263,8.79696624213009,1.01111882514943,2233.96057652997,2.666,165.212,0.916,419.467383969723
0.506322984447242,40,1000,-23.9774124516901,28.3923668609957,0.845441886389705,11570.4185637571,1.986,179.834,0.944,252.18071462139
1.23246458502536,40,1000,-98.675660065985,97.3750609243459,0.709056294567533,68738.1735838188,1.54,204.226,0.964,117.018001280597
3,40,1000,-320.055579429677,351.120991972033,0.610219261345913,550455.429790158,1.586,211.66,0.976,52.6040438120726
0.001,70,1000,-0.000126731517842672,0.113152214839589,30.9069684923566,38.4829671762178,41.292,98.746,0.054,993.223570886393
0.00243414702251933,70,1000,0.000399318240260803,0.188069252642158,38.4116242664601,122.223882116896,30.63,116.686,0.228,996.590261609888
0.00592507172723974,70,1000,0.0134518719702814,0.301690125459423,18.5957092916662,147.982136573824,20.944,138.37,0.446,998.560285634744
0.0144224957030741,70,1000,0.00826504366249184,0.499260262518455,7.62797772885548,196.180655545727,14.528,169.324,0.6,997.439003110157
0.0351064749729356,70,1000,-0.082359844077415,1.04477724847522,4.07014875968157,532.392412764306,9.064,193.55,0.762,957.848627273044
0.0854543215265208,70,1000,-0.850743029038548,2.58687794434083,1.98688083941856,1802.62232497449,5.628,214.696,0.852,796.840765110052
0.20800838230519,70,1000,-3.88743022623256,9.00792310537286,1.2358374255746,8471.87269109119,4.976,279.02,0.88,586.64178376899
0.506322984447242,70,1000,-27.8317910615992,36.1625227564819,0.954669237000947,37351.258254926,3.084,288.192,0.94,331.335583952967
1.23246458502536,70,1000,-132.809811644127,124.251458948727,0.817151277839685,200603.550824605,1.962,280.68,0.974,168.235561891494
3,70,1000,-485.620312019851,456.518550752771,0.579011800104661,1040624.30621289,1.612,338.53,0.974,92.546017287344
0.001,100,1000,0.0174473799907342,0.147407039600621,144.807260573719,271.716342762437,67.378,137.264,0.014,995.116711456158
0.00243414702251933,100,1000,-0.000656977942692229,0.227237989272511,47.9770592150872,211.557489760297,51.032,156.158,0.132,997.669138516596
0.00592507172723974,100,1000,-0.010418882704597,0.373822265305746,24.5736502353392,287.119310786565,33.788,181.024,0.374,999.011988992589
0.0144224957030741,100,1000,0.0353508554937126,0.627972035534862,9.00965765483891,341.717999764463,23.644,223.664,0.554,999.465356841613
0.0351064749729356,100,1000,-0.0166858803810257,1.20560222499792,4.22503324058514,815.558481431269,17.422,266.902,0.692,981.873028337422
0.0854543215265208,100,1000,-0.36992390360071,3.04509265653985,2.16723686030041,3733.55538459731,11.25,317.572,0.806,883.381469718385
0.20800838230519,100,1000,-4.07626739480621,9.333272319131,1.51595133630146,19081.578043108,6.588,335.606,0.892,664.241063974208
0.506322984447242,100,1000,-24.5142664989878,38.8248833315876,0.98908699599941,76786.9281333458,4.162,406.372,0.93,435.853677007694
1.23246458502536,100,1000,-140.235723455199,152.472977682109,0.902144341966645,455024.417432537,3.2,417.316,0.956,229.00930701237
3,100,1000,-572.601302647612,631.084443463431,0.702938110294105,2142080.05565659,2.092,450.464,0.976,107.970535608406
