child_name,status,parent_name,author1init,author1last,author2init,author2last,otherauthors,pubyr
Phanerotrematidae,"belongs to",Pleurotomariacea,,,,,,
Lophospiridae,"belongs to",Pleurotomariacea,,,,,,
Omosauria,"belongs to",Reptilia,,,,,,
Porata,"belongs to",Calcarea,,,,,,
Celyphiidae,"belongs to",Aporata,,,,,,
Ascosymplegmatidae,"belongs to",Porata,,,,,,
Oriostomatidae,"belongs to",Oriostomatacea,,,,,,
Porcelliidae,"belongs to",Pleurotomariacea,,,,,,
Murchisoniidae,"belongs to",Murchisoniacea,,,,,,
Monoplacophora,"belongs to",Mollusca,,,,,,
Luciellidae,"belongs to",Pleurotomariacea,,,,,,
Tubinidae,"belongs to",Oriostomatacea,,,,,,
Eotomariidae,"belongs to",Pleurotomariacea,,,,,,
Sinuopeidae,"belongs to",Pleurotomariacea,,,,,,
Onychochilidae,"belongs to",Macluritoidea,,,,,,
Angariidae,"belongs to",Angariinae,,,,,,
Architectonicacea,"objective synonym of",Architectonicoidea,,,,,,
Buccinacea,"objective synonym of",Buccinoidea,,,,,,
Calyptraeacea,"objective synonym of",Calyptraeoidea,,,,,,
Conacea,"objective synonym of",Conoidea,,,,,,
Fissurellacea,"belongs to",Pleurotomariina,,,,,,
Hyriidae,"belongs to",Hyriinae,,,,,,
Liotiidae,"belongs to",Liotiinae,,,,,,
Muricacea,"objective synonym of",Muricoidea,,,,,,
Naticacea,"objective synonym of",Naticoidea,,,,,,
Phasianellidae,"belongs to",Phasianellinae,,,,,,
Phasianellidae,"belongs to",Trochacea,,,,,,
Philinacea,"objective synonym of",Philinoidea,,,,,,
Plethospiridae,"belongs to",Murchisoniacea,,,,,,
Pleurotomariacea,"belongs to",Pleurotomariina,,,,,,
Pyramidellacaea,"objective synonym of",Pyramidellacea,,,,,,
Sphaeriidae,"belongs to",Corbiculacea,,,,,,
Vasidae,"belongs to",Vasinae,,,,,,
Primates,"belongs to",Mammalia,C.,Linnaeus,,,,1758
Pecora,"belongs to",Mammalia,C.,Linnaeus,,,,1758
Cete,"belongs to",Mammalia,C.,Linnaeus,,,,1758
Bruta,"belongs to",Mammalia,C.,Linnaeus,,,,1758
Ferae,"belongs to",Mammalia,C.,Linnaeus,,,,1758
Glires,"belongs to",Mammalia,C.,Linnaeus,,,,1758
Bellua,"belongs to",Mammalia,C.,Linnaeus,,,,1758
Araneae,"belongs to",Arachnida,,Lamarck,,,,1801
Paguroidea,"belongs to",Anomura,"P. A.",Latreille,,,,1802
Cancridae,"belongs to",Brachyura,"P. A.",Latreille,,,,1802
Plecoptera,"belongs to",Insecta,,Latreille,,,,1802
Paguridae,"belongs to",Decapoda,"P. A.",Latreille,,,,1802
Cicadellidae,"belongs to",Hemiptera,"P. A.",Latreille,,,,1802
Ledrinae,"belongs to",Cicadellidae,"J. C.",Fabricius,,,,1803
Reduviidae,"belongs to",Cimicomorpha,,Latreille,,,,1807
Sirenia,"belongs to",Natantia,C.,Illiger,,,,1811
Colubridae,"belongs to",Colubroidea,M.,Oppel,,,,1811
Marsupialia,"belongs to",Pollicata,C.,Illiger,,,,1811
Prosimii,"belongs to",Pollicata,C.,Illiger,,,,1811
Crotalinae,"belongs to",Viperidae,M.,Oppel,,,,1811
Pinnipedia,"belongs to",Mammalia,C.,Illiger,,,,1811
Viperinae,"belongs to",Viperidae,M.,Oppel,,,,1811
Quadrumana,"belongs to",Pollicata,C.,Illiger,,,,1811
Duplicidentata,"belongs to",Prensiculantia,C.,Illiger,,,,1811
Passeridae,"belongs to",Passeriformes,,Illiger,,,,1811
Natantia,"belongs to",Mammalia,C.,Illiger,,,,1811
Cete,"belongs to",Natantia,C.,Illiger,,,,1811
Murina,"belongs to",Prensiculantia,C.,Illiger,,,,1811
Erecta,"belongs to",Mammalia,C.,Illiger,,,,1811
Pollicata,"belongs to",Mammalia,C.,Illiger,,,,1811
Macrotarsi,"belongs to",Pollicata,C.,Illiger,,,,1811
Leptodactyla,"belongs to",Pollicata,C.,Illiger,,,,1811
Salientia,"belongs to",Mammalia,C.,Illiger,,,,1811
Prensiculantia,"belongs to",Mammalia,C.,Illiger,,,,1811
Macropoda,"belongs to",Prensiculantia,C.,Illiger,,,,1811
Agilia,"belongs to",Prensiculantia,C.,Illiger,,,,1811
Cunicularia,"belongs to",Prensiculantia,C.,Illiger,,,,1811
Palmipeda,"belongs to",Prensiculantia,C.,Illiger,,,,1811
Aculeata,"belongs to",Prensiculantia,C.,Illiger,,,,1811
Subungulata,"belongs to",Prensiculantia,C.,Illiger,,,,1811
Mytilinae,"belongs to",Mytilidae,,Rafinesque,,,,1815
Helicidae,"belongs to",Gastropoda,C.S.,Rafinesque,,,,1815
Pseudoscorpionida,"belongs to",Arachnida,,Latreille,,,,1817
Conchifera,"belongs to",Mollusca,"J. -B.",Lamarck,,,,1818
Pilumnidae,"belongs to",Brachyura,G.,Samouelle,,,,1819
Majoidea,"belongs to",Brachyura,G.,Samouelle,,,,1819
Didelphidae,"belongs to",Ferae,"J. E.",Gray,,,,1821
Galeopithecidae,"belongs to",Pterophorae,"J. E.",Gray,,,,1821
Tenrecidae,"belongs to",Plantigradae,"J. E.",Gray,,,,1821
Vespertilionidae,"belongs to",Insectivorae,"J. E.",Gray,,,,1821
Primates,"belongs to",Bimanes,"J. E.",Gray,,,,1821
Lemuridae,"belongs to",Heteronychae,"J. E.",Gray,,,,1821
Cercopithecidae,"belongs to",Platyonychae,"J. E.",Gray,,,,1821
Viverridae,"belongs to",Digitigradae,"J. E.",Gray,,,,1821
Hyaenidae,"belongs to",Digitigradae,"J. E.",Gray,,,,1821
Felidae,"belongs to",Digitigradae,"J. E.",Gray,,,,1821
Phocidae,"belongs to",Amphibiae,"J. E.",Gray,,,,1821
Canidae,"belongs to",Digitigradae,"J. E.",Gray,,,,1821
Sciuridae,"belongs to",Rosores,"J. E.",Gray,,,,1821
Castoridae,"belongs to",Rosores,"J. E.",Gray,,,,1821
Muridae,"belongs to",Rosores,"J. E.",Gray,,,,1821
Leporidae,"belongs to",Rosores,"J. E.",Gray,,,,1821
Hippopotamidae,"belongs to",Tesserachenae,"J. E.",Gray,,,,1821
Camelidae,"belongs to",Hydrophorae,"J. E.",Gray,,,,1821
Moschidae,"belongs to",Ruminantes,"J. E.",Gray,,,,1821
Cervidae,"belongs to",Ruminantes,"J. E.",Gray,,,,1821
Giraffidae,"belongs to",Ruminantes,"J. E.",Gray,,,,1821
Delphinidae,"belongs to",Carnivorae,"J. E.",Gray,,,,1821
Monodontidae,"belongs to",Carnivorae,"J. E.",Gray,,,,1821
Balaenidae,"belongs to",Carnivorae,"J. E.",Gray,,,,1821
Equidae,"belongs to",Monochenae,"J. E.",Gray,,,,1821
Tapiridae,"belongs to",Trichenae,"J. E.",Gray,,,,1821
Rhinocerotidae,"belongs to",Trichenae,"J. E.",Gray,,,,1821
Elephantidae,"belongs to",Proboscidea,"J. E.",Gray,,,,1821
Dugongidae,"belongs to",Herbivorae,"J. E.",Gray,,,,1821
Manatidae,"belongs to",Herbivorae,"J. E.",Gray,,,,1821
Orycteropodidae,"belongs to",Oligodontae,"J. E.",Gray,,,,1821
Megatheriidae,"belongs to",Oligodontae,"J. E.",Gray,,,,1821
Manidae,"belongs to",Edentulae,"J. E.",Gray,,,,1821
Potoroidae,"belongs to",Bruta,"J. E.",Gray,,,,1821
Anoplotheriidae,"belongs to",Tesserachenae,"J. E.",Gray,,,,1821
Callitrichidae,"belongs to",Platyonychae,"J. E.",Gray,,,,1821
Lorisidae,"belongs to",Heteronychae,"J. E.",Gray,,,,1821
Noctilionidae,"belongs to",Insectivorae,"J. E.",Gray,,,,1821
Phalangistidae,"belongs to",Ferae,"J. E.",Gray,,,,1821
Hyracidae,"belongs to",Trichenae,"J. E.",Gray,,,,1821
Spalacidae,"belongs to",Rosores,"J. E.",Gray,,,,1821
Cheiromydae,"belongs to",Rosores,"J. E.",Gray,,,,1821
Arvicolinae,"belongs to",Rosores,"J. E.",Gray,,,,1821
Caviinae,"belongs to",Caviidae,,Gray,,,,1821
Cetacea,"belongs to",Vertebrosa,"J. E.",Gray,,,,1821
Herbivorae,"belongs to",Cetacea,"J. E.",Gray,,,,1821
Carnivorae,"belongs to",Cetacea,"J. E.",Gray,,,,1821
Quadripedes,"belongs to",Vertebrosa,"J. E.",Gray,,,,1821
Amphibiae,"belongs to",Quadripedes,"J. E.",Gray,,,,1821
Trichechidae,"belongs to",Amphibiae,"J. E.",Gray,,,,1821
Bimanes,"belongs to",Vertebrata,"J. E.",Gray,,,,1821
Quadrumana,"belongs to",Vertebrosa,"J. E.",Gray,,,,1821
Platyonychae,"belongs to",Quadrumana,"J. E.",Gray,,,,1821
Gampstonychae,"belongs to",Quadrumana,"J. E.",Gray,,,,1821
Harpaladae,"belongs to",Gampstonychae,"J. E.",Gray,,,,1821
Heteronychae,"belongs to",Quadrumana,"J. E.",Gray,,,,1821
Fructivorae,"belongs to",Chiroptera,"J. E.",Gray,,,,1821
Chiroptera,"belongs to",Vertebrosa,"J. E.",Gray,,,,1821
Pteropidae,"belongs to",Fructivorae,"J. E.",Gray,,,,1821
Insectivorae,"belongs to",Chiroptera,"J. E.",Gray,,,,1821
Pterophorae,"belongs to",Quadripedes,"J. E.",Gray,,,,1821
Plantigradae,"belongs to",Quadripedes,"J. E.",Gray,,,,1821
Erinaceidae,"belongs to",Plantigradae,"J. E.",Gray,,,,1821
Ursinidae,"belongs to",Plantigradae,"J. E.",Gray,,,,1821
Digitigradae,"belongs to",Quadripedes,"J. E.",Gray,,,,1821
Rosores,"belongs to",Quadripedes,"J. E.",Gray,,,,1821
Myosidae,"belongs to",Rosores,"J. E.",Gray,,,,1821
Dipsidae,"belongs to",Rosores,"J. E.",Gray,,,,1821
Halamydae,"belongs to",Rosores,"J. E.",Gray,,,,1821
Hystricidae,"belongs to",Rosores,"J. E.",Gray,,,,1821
Caviidae,"belongs to",Rosores,"J. E.",Gray,,,,1821
Tardigrada,"belongs to",Quadripedes,"J. E.",Gray,,,,1821
Bradypodidae,"belongs to",Tardigrada,"J. E.",Gray,,,,1821
Oligodontae,"belongs to",Quadripedes,"J. E.",Gray,,,,1821
Dasipidae,"belongs to",Oligodontae,"J. E.",Gray,,,,1821
Edentulae,"belongs to",Quadripedes,"J. E.",Gray,,,,1821
Proboscidea,"belongs to",Quadripedes,"J. E.",Gray,,,,1821
Mastodonadae,"belongs to",Proboscidea,"J. E.",Gray,,,,1821
Tesserachenae,"belongs to",Quadripedes,"J. E.",Gray,,,,1821
Trichenae,"belongs to",Quadripedes,"J. E.",Gray,,,,1821
Monochenae,"belongs to",Quadripedes,"J. E.",Gray,,,,1821
Hydrophorae,"belongs to",Quadripedes,"J. E.",Gray,,,,1821
Ruminantes,"belongs to",Quadripedes,"J. E.",Gray,,,,1821
Capridae,"belongs to",Ruminantes,"J. E.",Gray,,,,1821
Pedimanes,"belongs to",Vertebrosa,"J. E.",Gray,,,,1821
Bruta,"belongs to",Pedimanes,"J. E.",Gray,,,,1821
Macropodidae,"belongs to",Bruta,"J. E.",Gray,,,,1821
Koladae,"belongs to",Bruta,"J. E.",Gray,,,,1821
Glires,"belongs to",Pedimanes,"J. E.",Gray,,,,1821
Phascolomyidae,"belongs to",Glires,"J. E.",Gray,,,,1821
Ferae,"belongs to",Pedimanes,"J. E.",Gray,,,,1821
Dolichotinae,"belongs to",Caviidae,"J. E.",Gray,,,,1821
Nuculidae,"belongs to",Lamellibranchiata,,Gray,,,,1824
Gekkonidae,"belongs to",Gekkota,"J. E.",Gray,,,,1825
Didelphidae,"belongs to",Ferae,"J. E.",Gray,,,,1825
Galeopithecidae,"belongs to",Primates,"J. E.",Gray,,,,1825
Talpini,"belongs to",Ferae,"J. E.",Gray,,,,1825
Vespertilionidae,"belongs to",Primates,"J. E.",Gray,,,,1825
Primates,"belongs to",Mammalia,"J. E.",Gray,,,,1825
Lemuridae,"belongs to",Primates,"J. E.",Gray,,,,1825
Hominidae,"belongs to",Primates,"J. E.",Gray,,,,1825
Felidae,"belongs to",Ferae,"J. E.",Gray,,,,1825
Phocidae,"belongs to",Ferae,"J. E.",Gray,,,,1825
Ursidae,"belongs to",Ferae,"J. E.",Gray,,,,1825
Muridae,"belongs to",Glires,"J. E.",Gray,,,,1825
Leporidae,"belongs to",Glires,"J. E.",Gray,,,,1825
Bovidae,"belongs to",Ungulata,"J. E.",Gray,,,,1825
Delphinidae,"belongs to",Cete,"J. E.",Gray,,,,1825
Balaenidae,"belongs to",Cete,"J. E.",Gray,,,,1825
Equidae,"belongs to",Ungulata,"J. E.",Gray,,,,1825
Elephantidae,"belongs to",Ungulata,"J. E.",Gray,,,,1825
Manatidae,"belongs to",Cete,"J. E.",Gray,,,,1825
Boinae,"belongs to",Boidae,"J. E.",Gray,,,,1825
Erycinae,"belongs to",Boidae,,Bonaparte,,,,1825
Halicoridae,"belongs to",Cete,"J. E.",Gray,,,,1825
Trichechidae,"belongs to",Cete,"J. E.",Gray,,,,1825
Stenorhyncina,"belongs to",Phocidae,"J. E.",Gray,,,,1825
Hystricidae,"belongs to",Glires,"J. E.",Gray,,,,1825
Bradypodidae,"belongs to",Ungulata,"J. E.",Gray,,,,1825
Glires,"belongs to",Mammalia,"J. E.",Gray,,,,1825
Hominina,"belongs to",Hominidae,"J. E.",Gray,,,,1825
Simiina,"belongs to",Hominidae,"J. E.",Gray,,,,1825
Cynocephalina,"belongs to",Hominidae,"J. E.",Gray,,,,1825
Lemurina,"belongs to",Lemuridae,"J. E.",Gray,,,,1825
Galagonina,"belongs to",Lemuridae,"J. E.",Gray,,,,1825
Canina,"belongs to",Felidae,"J. E.",Gray,,,,1825
Felina,"belongs to",Felidae,"J. E.",Gray,,,,1825
Mustelina,"belongs to",Felidae,"J. E.",Gray,,,,1825
Procyonina,"belongs to",Ursidae,"J. E.",Gray,,,,1825
Ursina,"belongs to",Ursidae,"J. E.",Gray,,,,1825
Otariina,"belongs to",Phocidae,"J. E.",Gray,,,,1825
Phocina,"belongs to",Phocidae,"J. E.",Gray,,,,1825
Physeterina,"belongs to",Balaenidae,"J. E.",Gray,,,,1825
Balaenina,"belongs to",Balaenidae,"J. E.",Gray,,,,1825
Elephantina,"belongs to",Elephantidae,"J. E.",Gray,,,,1825
Tapiridae,"belongs to",Elephantidae,"J. E.",Gray,,,,1825
Hippopotamina,"belongs to",Elephantidae,"J. E.",Gray,,,,1825
Camelina,"belongs to",Bovidae,"J. E.",Gray,,,,1825
Moschina,"belongs to",Bovidae,"J. E.",Gray,,,,1825
Cervina,"belongs to",Bovidae,"J. E.",Gray,,,,1825
Camelopardalina,"belongs to",Bovidae,"J. E.",Gray,,,,1825
Bovina,"belongs to",Bovidae,"J. E.",Gray,,,,1825
Myrmecophagina,"belongs to",Dasipidae,"J. E.",Gray,,,,1825
Delphinina,"belongs to",Delphinidae,"J. E.",Gray,,,,1825
Phocaenina,"belongs to",Delphinidae,"J. E.",Gray,,,,1825
Presbytina,"belongs to",Hominidae,"J. E.",Gray,,,,1825
Lichanotina,"belongs to",Lemuridae,"J. E.",Gray,,,,1825
Loridina,"belongs to",Lemuridae,"J. E.",Gray,,,,1825
Tarsina,"belongs to",Lemuridae,"J. E.",Gray,,,,1825
Rhinolophina,"belongs to",Vespertilionidae,"J. E.",Gray,,,,1825
Phyllostomina,"belongs to",Vespertilionidae,"J. E.",Gray,,,,1825
Pteropina,"belongs to",Vespertilionidae,"J. E.",Gray,,,,1825
Noctilioninia,"belongs to",Vespertilionidae,"J. E.",Gray,,,,1825
Vespertilionina,"belongs to",Vespertilionidae,"J. E.",Gray,,,,1825
Viverrina,"belongs to",Mustelidae,"J. E.",Gray,,,,1825
Gulonina,"belongs to",Ursidae,"J. E.",Gray,,,,1825
Myadina,"belongs to",Ursidae,"J. E.",Gray,,,,1825
Taxina,"belongs to",Ursidae,"J. E.",Gray,,,,1825
Talpina,"belongs to",Talpini,"J. E.",Gray,,,,1825
Chrysochlorina,"belongs to",Talpini,"J. E.",Gray,,,,1825
Soricina,"belongs to",Talpini,"J. E.",Gray,,,,1825
Tenrecina,"belongs to",Talpini,"J. E.",Gray,,,,1825
Tupaina,"belongs to",Talpini,"J. E.",Gray,,,,1825
Macropina,"belongs to",Didelphidae,"J. E.",Gray,,,,1825
Phalangistina,"belongs to",Didelphidae,"J. E.",Gray,,,,1825
Phascolomina,"belongs to",Didelphidae,"J. E.",Gray,,,,1825
Didelphina,"belongs to",Didelphidae,"J. E.",Gray,,,,1825
Dasyurina,"belongs to",Didelphidae,"J. E.",Gray,,,,1825
Peramelina,"belongs to",Didelphidae,"J. E.",Gray,,,,1825
Enhydrina,"belongs to",Phocidae,"J. E.",Gray,,,,1825
Cete,"belongs to",Mammalia,"J. E.",Gray,,,,1825
Murina,"belongs to",Muridae,"J. E.",Gray,,,,1825
Hydromina,"belongs to",Muridae,"J. E.",Gray,,,,1825
Ondatrina,"belongs to",Muridae,"J. E.",Gray,,,,1825
Castorina,"belongs to",Muridae,"J. E.",Gray,,,,1825
Echymina,"belongs to",Muridae,"J. E.",Gray,,,,1825
Leporina,"belongs to",Leporidae,"J. E.",Gray,,,,1825
Lagomina,"belongs to",Leporidae,"J. E.",Gray,,,,1825
Caviina,"belongs to",Leporidae,"J. E.",Gray,,,,1825
Hydrocharina,"belongs to",Leporidae,"J. E.",Gray,,,,1825
Dasyporcina,"belongs to",Leporidae,"J. E.",Gray,,,,1825
Ierboidae,"belongs to",Glires,"J. E.",Gray,,,,1825
Pedestina,"belongs to",Ierboidae,"J. E.",Gray,,,,1825
Dipina,"belongs to",Ierboidae,"J. E.",Gray,,,,1825
Gerbillina,"belongs to",Ierboidae,"J. E.",Gray,,,,1825
Myoxina,"belongs to",Ierboidae,"J. E.",Gray,,,,1825
Sciurina,"belongs to",Ierboidae,"J. E.",Gray,,,,1825
Aspalacidae,"belongs to",Glires,"J. E.",Gray,,,,1825
Lemnina,"belongs to",Aspalacidae,"J. E.",Gray,,,,1825
Cricetina,"belongs to",Aspalacidae,"J. E.",Gray,,,,1825
Pseudotomina,"belongs to",Aspalacidae,"J. E.",Gray,,,,1825
Arctomina,"belongs to",Aspalacidae,"J. E.",Gray,,,,1825
Ungulata,"belongs to",Mammalia,"J. E.",Gray,,,,1825
Rhinocerina,"belongs to",Elephantidae,"J. E.",Gray,,,,1825
Dasipidae,"belongs to",Ungulata,"J. E.",Gray,,,,1825
Manina,"belongs to",Dasipidae,"J. E.",Gray,,,,1825
Dasypina,"belongs to",Dasipidae,"J. E.",Gray,,,,1825
Orycteropina,"belongs to",Dasipidae,"J. E.",Gray,,,,1825
Ornithoryncina,"belongs to",Dasipidae,"J. E.",Gray,,,,1825
Suina,"belongs to",Elephantidae,"J. E.",Gray,,,,1825
Hexapoda,"belongs to",Arthropoda,,Latreille,,,,1825
Ferae,"belongs to",Mammalia,"J. E.",Gray,,,,1825
Irregularia,"belongs to",Echinoida,"P. A.",Latreille,,,,1825
Erirhininae,"belongs to",Curculionidae,,Schoenher,,,,1825
Pythoninae,"belongs to",Alethinophidia,,Fitzinger,,,,1826
Cerithiadae,"belongs to",Cerithioidea,,Fleming,,,,1828
Strepsichrotes,"belongs to",Amphibia,"F. A.",Ritgen,,,,1828
Sterrichrotes,"belongs to",Amphibia,"F. A.",Ritgen,,,,1828
Campsichrotes,"belongs to",Amphibia,"F. A.",Ritgen,,,,1828
Molgaei,"belongs to",Campsichrotes,"F. A.",Ritgen,,,,1828
Uromolgaei,"belongs to",Molgaei,"F. A.",Ritgen,,,,1828
Eretmosaurae,"belongs to",Pneumaturomolgaei,"F. A.",Ritgen,,,,1828
Halisaurae,"belongs to",Pneumaturomolgaei,"F. A.",Ritgen,,,,1828
Pneumaturomolgaei,"belongs to",Uromolgaei,"F. A.",Ritgen,,,,1828
Motacillinae,"belongs to",Passeridae,,Bonaparte,,,,1831
Imbricariinae,"belongs to",Mitridae,,Swainson,,,,1831
Theridiidae,"belongs to",Araneomorphae,,Sundevall,,,,1833
Lycosidae,"belongs to",Araneomorphae,,Sundevall,,,,1833
Solifugae,"belongs to",Arachnida,,Sundevall,,,,1833
Lycosoidea,"belongs to",Araneae,,Sundevall,,,,1833
Raninidae,"belongs to",Brachyura,W.,"de Haan",,,,1833
Homolidae,"belongs to",Brachyura,W.,"de Haan",,,,1833
Dromiidae,"belongs to",Dromiacea,W.,"De Haan",,,,1833
Lithurginae,"belongs to",Megachilidae,,Newman,,,,1834
Osmiini,"belongs to",Megachilidae,,Newman,,,,1834
Aspidochirotida,"belongs to",Holothuridea,"J. F.",Brandt,,,,1835
Placentalia,"belongs to",Mammalia,R.,Owen,,,,1837
Calappidae,"belongs to",Brachyura,H.,Milne-Edwards,,,,1837
Anomura,"belongs to",Decapoda,"W. S.",MacLeay,,,,1838
Inachidae,"belongs to",Majoidea,"W. S.",MacLeay,,,,1838
Xanthidae,"belongs to",Brachyura,"W. S.",MacLeay,,,,1838
Ochtodontidae,"belongs to",Glires,,Waterhouse,,,,1840
Salticidae,"belongs to",Araneomorphae,,Blackwall,,,,1841
Delthyridacea,"belongs to",Spiriferidina,,Phillips,,,,1841
Delphinidae,"belongs to",Cetacea,"J. E.","De Kay",,,,1842
Balaenidae,"belongs to",Cetacea,"J. E.","De Kay",,,,1842
Manatidae,"belongs to",Cetacea,"J. E.","De Kay",,,,1842
Discoidea,"belongs to",Echinodermata,,Desor,,,,1842
Sigmodontinae,"belongs to",Muridae,,Wagner,,,,1843
Megalosauri,"belongs to",Loricata,L.,Fitzinger,,,,1843
Pterodactyli,"belongs to",Ornithosauria,L.,Fitzinger,,,,1843
Loricata,"belongs to",Rhizodonta,L.,Fitzinger,,,,1843
Ornithosauria,"belongs to",Rhizodonta,L.,Fitzinger,,,,1843
Pleurodontes,"belongs to",Dendrobatae,L.,Fitzinger,,,,1843
Dendrobatae,"belongs to",Amblyglossae,L.,Fitzinger,,,,1843
Amblyglossae,"belongs to",Reptilia,L.,Fitzinger,,,,1843
Epicria,"belongs to",Anuri,L.,Fitzinger,,,,1843
Amphisbaenia,"belongs to",Reptilia,J.,Gray,,,,1844
Dactylopodes,"belongs to",Saurii,"H. v.",Meyer,,,,1845
Pachypodes,"belongs to",Saurii,"H. v.",Meyer,,,,1845
Nexipodes,"belongs to",Saurii,"H. v.",Meyer,,,,1845
Pterodactyli,"belongs to",Saurii,"H. v.",Meyer,,,,1845
Labyrinthodontes,"belongs to",Saurii,"H. v.",Meyer,,,,1845
Delphinidae,"belongs to",Cete,"J. E.",Gray,,,,1846
Balaenidae,"belongs to",Cete,"J. E.",Gray,,,,1846
Catodontidae,"belongs to",Cete,"J. E.",Gray,,,,1846
Hyperoodontina,"belongs to",Delphinidae,"J. E.",Gray,,,,1846
Monoceratina,"belongs to",Delphinidae,"J. E.",Gray,,,,1846
Delphinina,"belongs to",Delphinidae,"J. E.",Gray,,,,1846
Platanistina,"belongs to",Delphinidae,"J. E.",Gray,,,,1846
Iniana,"belongs to",Delphinidae,"J. E.",Gray,,,,1846
Orcini,"belongs to",Delphinidae,"J. A.",Wagner,,,,1846
Rissoinae,"belongs to",Rissoidae,,Gray,,,,1847
Ruminantia,"belongs to",Artiodactyla,R.,Owen,,,,1848
Conoidea,"belongs to",Toxoglossa,,Troschel,,,,1848
Artiodactyla,"belongs to",Ungulata,R.,Owen,,,,1848
Perissodactyla,"belongs to",Ungulata,R.,Owen,,,,1848
Proboscidea,"belongs to",Ungulata,R.,Owen,,,,1848
Phocidae,"belongs to",Pinnipedia,"C. L.",Bonaparte,,,,1849
Delphinidae,"belongs to",Cete,"C. L.",Bonaparte,,,,1849
Balaenidae,"belongs to",Cete,"C. L.",Bonaparte,,,,1849
Atyidae,"belongs to",Atyoidea,,"De Haan",,,,1849
Zeuglodontidae,"belongs to",Pinnipedia,"C. L.",Bonaparte,,,,1849
Sirenia,"belongs to",Cetacea,"J. F.",Brandt,,,,1849
Hyperoodontina,"belongs to",Delphinidae,"C. L.",Bonaparte,,,,1849
Delphinina,"belongs to",Delphinidae,"C. L.",Bonaparte,,,,1849
Orcina,"belongs to",Delphinidae,"C. L.",Bonaparte,,,,1849
Monodontina,"belongs to",Delphinidae,"C. L.",Bonaparte,,,,1849
Catodontina,"belongs to",Delphinidae,"C. L.",Bonaparte,,,,1849
Homacodontidae,"belongs to",Artiodactyla,O.,Marsh,,,,1849
Salenies,"belongs to",Echinus,J.,Haime,,,,1849
Perischoechinida,"belongs to",Echinodermata,F.,M'Coy,,,,1849
Sirenia,"belongs to",Pinnata,C.-L.,Bonaparte,,,,1850
Testudinata,"belongs to",Reptilia,C.-L.,Bonaparte,,,,1850
Plesiosauridae,"belongs to",Enaliosauria,C.-L.,Bonaparte,,,,1850
Pterosauria,"subjective synonym of",Ornithosauria,C.-L.,Bonaparte,,,,1850
Pterodactylidae,"belongs to",Ornithosauria,C.-L.,Bonaparte,,,,1850
Megalosauridae,"belongs to",Dinosauria,C.-L.,Bonaparte,,,,1850
Iguanodontidae,"belongs to",Dinosauria,C.-L.,Bonaparte,,,,1850
Ichthyosauridae,"belongs to",Enaliosauria,C.-L.,Bonaparte,,,,1850
Monotremata,"belongs to",Ovovivipara,C.-L.,Bonaparte,,,,1850
Ornithorhynchidae,"belongs to",Monotremata,C.-L.,Bonaparte,,,,1850
Marsupialia,"belongs to",Ovovivipara,C.-L.,Bonaparte,,,,1850
Didelphidae,"belongs to",Marsupialia,C.-L.,Bonaparte,,,,1850
Dasyuridae,"belongs to",Marsupialia,C.-L.,Bonaparte,,,,1850
Thylacinidae,"belongs to",Marsupialia,C.-L.,Bonaparte,,,,1850
Peramelidae,"belongs to",Marsupialia,C.-L.,Bonaparte,,,,1850
Galeopithecidae,"belongs to",Primates,C.-L.,Bonaparte,,,,1850
Erinaceidae,"belongs to",Bestiae,C.-L.,Bonaparte,,,,1850
Talpini,"belongs to",Bestiae,C.-L.,Bonaparte,,,,1850
Soricidae,"belongs to",Bestiae,C.-L.,Bonaparte,,,,1850
Chiroptera,"belongs to",Ineducabilia,C.-L.,Bonaparte,,,,1850
Pteropodidae,"belongs to",Chiroptera,C.-L.,Bonaparte,,,,1850
Vespertilionidae,"belongs to",Chiroptera,C.-L.,Bonaparte,,,,1850
Primates,"belongs to",Unguiculata,C.-L.,Bonaparte,,,,1850
Lemuridae,"belongs to",Primates,C.-L.,Bonaparte,,,,1850
Cebidae,"belongs to",Primates,C.-L.,Bonaparte,,,,1850
Hominidae,"belongs to",Primates,C.-L.,Bonaparte,,,,1850
Viverridae,"belongs to",Ferae,C.-L.,Bonaparte,,,,1850
Felidae,"belongs to",Ferae,C.-L.,Bonaparte,,,,1850
Mustelidae,"belongs to",Ferae,C.-L.,Bonaparte,,,,1850
Phocidae,"belongs to",Pinnipedia,C.-L.,Bonaparte,,,,1850
Canidae,"belongs to",Ferae,C.-L.,Bonaparte,,,,1850
Procyonidae,"belongs to",Ferae,C.-L.,Bonaparte,,,,1850
Ursidae,"belongs to",Ferae,C.-L.,Bonaparte,,,,1850
Sciuridae,"belongs to",Glires,C.-L.,Bonaparte,,,,1850
Castoridae,"belongs to",Glires,C.-L.,Bonaparte,,,,1850
Muridae,"belongs to",Glires,C.-L.,Bonaparte,,,,1850
Bathyergidae,"belongs to",Glires,C.-L.,Bonaparte,,,,1850
Hystricidae,"belongs to",Glires,C.-L.,Bonaparte,,,,1850
Dasyproctidae,"belongs to",Glires,C.-L.,Bonaparte,,,,1850
Caviidae,"belongs to",Glires,C.-L.,Bonaparte,,,,1850
Leporidae,"belongs to",Glires,C.-L.,Bonaparte,,,,1850
Suina,"belongs to",Suidae,C.-L.,Bonaparte,,,,1850
Suidae,"belongs to",Belluae,C.-L.,Bonaparte,,,,1850
