"Acrotretida"	"Actinocerida"	"Agelasida"	"Amiiformes"	"Ammonoidea"	"Amphidiscosa"	"Anomalodesmata"	"Apodida"	"Arbacioida"	"Archaeogastropoda"	"Archinacellida"	"Architaenioglossa"	"Arcoida"	"Asaphida"	"Athyridida"	"Atrypida"	"Auloporida"	"Axinellida"	"Belemnitida"	"Bellerophontida"	"Camarodonta"	"Carcharhiniformes"	"Carditoida"	"Cassiduloida"	"Cephalaspida"	"Cephalaspidea"	"Ceratitida"	"Chaetetida"	"Cheilostomata"	"Chimaeriformes"	"Cidaroida"	"Clavulina"	"Clypeasteroida"	"Coenothecalia"	"Conocardiida"	"Conodontophorida"	"Conulariida"	"Cornulitida"	"Corynexochida"	"Craniida"	"Cryptostomata"	"Cryptostomida"	"Ctenacanthiformes"	"Ctenostomata"	"Cyclostomata"	"Cyrtocrinida"	"Cyrtonellida"	"Cyrtoneritimorpha"	"Cystoporata"	"Cystoporida"	"Decapoda"	"Dendrochirotida"	"Dendrocrinida"	"Dendroidea"	"Dentaliida"	"Dictyonellida"	"Diplobathrida"	"Echinoneoida"	"Elasipodida"	"Euomphalina"	"Favositida"	"Fenestrata"	"Fenestrida"	"Fissiculata"	"Gadilida"	"Goniatitida"	"Gorgonacea"	"Graptoloidea"	"Hadromerida"	"Harpetida"	"Helioporacea"	"Heterostrophia"	"Hexactinosa"	"Hexanchiformes"	"Hippuritoida"	"Holasteroida"	"Holectypoida"	"Hyolithida"	"Isocrinida"	"Isorophida"	"Labechiida"	"Lamniformes"	"Lichida"	"Limoida"	"Lingulida"	"Lychniscosa"	"Lyssacinosa"	"Metacopida"	"Milleporina"	"Mimospirida"	"Modiomorphoida"	"Monobathrida"	"Murchisoniina"	"Myliobatiformes"	"Myodocopida"	"Myoida"	"Mytiloida"	"Nautilida"	"Neogastropoda"	"Neoloricata"	"Neotaenioglossa"	"Neritoina"	"Nuculanoida"	"Nuculoida"	"Odontaspidida"	"Oncocerida"	"Ophiurida"	"Orchocladina"	"Orectolobiformes"	"Orthida"	"Orthocerida"	"Orthotetida"	"Orthothecida"	"Palaeocopida"	"Palaeonisciformes"	"Paxillosida"	"Pectinoida"	"Pentamerida"	"Perciformes"	"Phacopida"	"Pharetronida"	"Pholadomyoida"	"Phymosomatoida"	"Platycopida"	"Podocopida"	"Productida"	"Proetida"	"Prolecanitida"	"Protorthida"	"Pseudorthocerida"	"Ptenoglossa"	"Pterioida"	"Pycnodontiformes"	"Rajiformes"	"Reticulosa"	"Rhabdomesida"	"Rhynchonellida"	"Roveacrinida"	"Sagenocrinida"	"Salenioida"	"Scleractinia"	"Sedentarida"	"Serpulimorpha"	"Solemyoida"	"Sorbeoconcha"	"Spatangoida"	"Spiriferida"	"Spiriferinida"	"Spirosclerophorida"	"Spongiomorphida"	"Squaliformes"	"Squatiniformes"	"Stauriida"	"Stellispongiida"	"Stromatoporida"	"Strophomenida"	"Synechodontiformes"	"Tabulospongida"	"Taxocrinida"	"Tentaculitida"	"Terebratulida"	"Thecideida"	"Trepostomida"	"Trigonioida"	"Tryblidiida"	"Unionoida"	"Vaceletida"	"Valvatida"	"Veneroida"
0	0	0	1	0	0	6	0	0	1	0	7	18	0	0	0	0	0	0	0	3	17	18	6	0	10	0	0	13	3	4	1	4	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	19	0	0	0	2	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	1	1	1	4	0	1	0	0	1	0	0	3	0	4	2	0	0	0	0	0	0	0	0	18	0	21	11	11	76	1	43	0	11	3	18	0	0	0	9	0	0	0	0	0	0	0	18	0	28	0	0	1	1	3	32	0	0	0	0	0	5	25	1	8	0	0	3	0	0	0	72	3	0	1	33	8	0	0	0	0	3	1	0	1	0	0	0	0	0	0	7	0	0	0	0	1	0	1	98
0	0	0	0	0	0	8	0	1	5	0	17	29	0	0	0	0	0	0	0	0	15	26	6	5	17	0	0	84	2	8	1	14	1	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	34	0	0	0	8	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	2	2	7	3	0	0	1	0	0	0	0	2	0	6	1	4	2	0	2	0	0	0	0	11	0	19	19	6	175	1	80	1	17	9	14	0	1	0	5	0	0	0	0	0	0	0	29	0	13	0	0	2	2	1	24	0	0	0	0	0	13	31	0	8	0	0	2	0	0	1	118	2	0	1	56	15	0	0	1	0	2	1	0	0	1	0	0	0	0	0	10	1	1	0	0	2	0	3	197
0	0	0	0	0	0	10	0	1	2	0	11	22	0	0	0	0	0	0	0	2	9	21	1	0	12	0	0	61	1	2	1	11	1	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	17	2	0	0	4	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	1	1	3	4	0	0	0	0	0	0	0	2	0	5	1	0	0	0	1	0	0	0	0	7	0	13	18	4	170	2	62	0	24	6	9	0	0	0	2	0	0	0	0	0	0	0	44	0	24	0	0	3	1	2	66	0	0	0	0	0	11	18	0	2	0	0	1	0	0	1	119	1	0	2	39	13	0	0	0	0	1	1	0	0	1	0	0	0	0	0	7	0	0	1	0	2	0	1	180
0	0	0	1	0	0	12	1	0	3	0	15	37	0	0	0	0	0	0	0	8	17	30	1	2	17	0	0	43	1	8	2	17	0	0	0	0	0	0	3	0	0	0	0	14	0	0	0	0	0	55	1	0	0	7	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	2	0	1	4	0	2	0	0	1	0	0	6	0	7	1	0	0	0	0	0	0	0	0	10	0	32	28	1	243	2	105	1	27	9	11	0	0	0	4	0	0	0	0	0	0	1	69	0	30	0	0	5	1	2	96	0	0	0	0	0	10	21	0	5	0	0	2	0	0	0	174	3	3	2	67	26	0	0	0	0	2	1	0	0	0	0	0	0	0	0	16	1	0	2	0	2	0	4	290
0	0	0	0	0	0	17	0	1	5	0	6	47	0	0	0	0	0	0	0	9	12	32	3	0	21	0	0	105	3	4	2	14	0	1	0	0	0	0	2	0	0	0	0	18	0	0	0	0	0	19	0	0	0	7	0	0	1	0	0	0	0	0	0	3	0	0	0	1	0	1	0	1	3	0	0	0	0	0	0	0	3	0	6	2	0	0	0	2	0	0	0	0	5	0	33	22	1	286	6	128	1	16	7	10	0	0	0	3	0	0	0	0	0	0	1	71	0	29	0	0	1	0	3	65	0	0	0	0	0	18	25	0	5	0	0	0	0	0	0	162	3	0	2	81	13	0	0	0	0	2	1	0	0	0	0	0	0	0	0	10	1	0	2	0	1	0	1	336
0	0	2	0	136	0	1	0	4	0	0	3	10	0	0	0	0	12	10	0	1	0	12	0	1	2	0	1	0	0	4	0	1	0	0	0	0	0	0	2	0	0	0	0	25	1	0	0	0	0	3	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	2	0	0	6	1	3	0	0	0	0	0	0	6	2	0	0	0	1	0	0	0	0	0	1	3	6	1	1	0	8	1	3	3	1	0	1	1	0	0	1	0	0	0	0	3	22	0	0	0	1	6	2	1	20	0	0	0	0	0	1	30	2	1	0	0	14	0	0	2	93	1	3	0	3	1	0	0	0	1	0	0	0	4	0	0	1	1	0	0	42	2	0	13	0	0	0	1	28
0	0	0	0	136	0	1	0	3	3	0	2	6	0	0	0	0	8	13	0	2	0	6	0	3	4	0	0	2	0	6	0	1	1	0	0	0	0	0	1	0	0	0	0	38	5	0	0	0	0	9	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	5	0	0	11	1	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	4	6	3	1	0	11	1	4	2	1	0	0	0	0	0	0	0	0	0	0	1	16	0	0	0	4	3	1	2	10	0	0	0	0	0	4	23	2	0	0	0	11	0	1	3	106	2	4	1	12	2	0	0	0	1	0	0	0	5	0	0	0	1	0	0	27	0	0	11	0	0	0	0	21
0	0	0	0	106	0	3	1	3	6	0	3	21	0	0	0	0	7	9	0	2	0	18	1	4	9	0	0	1	0	1	1	1	2	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	10	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	5	1	1	29	1	4	0	0	0	0	1	0	8	1	1	0	0	0	0	0	0	0	0	0	11	13	6	2	0	19	1	4	4	1	0	0	0	0	0	1	0	0	0	0	1	18	0	0	0	4	10	0	1	11	0	0	0	0	0	6	33	2	2	0	0	9	1	0	2	161	2	5	0	16	6	0	0	0	1	0	0	0	4	0	0	0	1	0	0	17	1	0	14	0	1	0	0	77
0	0	0	2	225	0	2	0	1	3	0	3	13	0	0	0	0	0	7	0	0	0	16	1	1	8	0	0	6	0	4	2	0	2	0	0	0	0	0	0	0	0	0	1	15	1	0	0	0	0	16	0	0	0	1	0	0	1	0	2	0	0	0	0	1	0	1	0	1	0	2	3	0	1	31	2	4	0	0	0	0	4	0	8	1	1	0	0	0	0	0	0	0	2	0	9	10	4	7	0	9	1	6	3	7	0	3	0	0	0	0	0	0	0	0	1	20	0	1	0	0	8	2	2	10	0	0	0	0	0	6	39	5	3	0	0	6	1	0	3	107	3	3	1	16	8	0	0	0	0	1	0	0	0	0	0	1	0	0	0	23	0	0	15	0	0	0	2	51
0	0	0	1	115	0	1	0	3	2	0	1	17	0	0	0	0	1	6	0	1	1	8	3	1	9	0	0	3	2	3	2	0	1	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	10	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	2	0	1	0	1	4	2	0	26	2	6	0	0	0	0	4	0	4	2	3	0	0	0	0	0	0	0	1	0	12	11	6	9	0	16	1	2	2	13	0	3	0	3	0	0	0	0	0	0	0	16	0	2	0	0	5	2	1	2	0	0	0	0	0	1	35	4	8	0	0	7	0	0	3	107	1	5	1	11	6	0	0	0	0	4	1	0	0	0	0	0	1	0	0	9	0	0	14	0	1	0	8	56
