genus,"base of range (Ma)","top of range (Ma)",collections,"with abundances","geometric mean abundance"
Adriatella,155.700,145.500,1,1,0.3000
Advenaster,171.600,164.700,2,1,0.0135
Adygella,247.200,215.560,18,9,0.0106
Adyshevitheca,520.000,516.000,1,0,NaN
Aechmella,65.500,61.700,2,2,0.0307
Aechmina,455.800,290.100,40,0,NaN
Aechminaria,416.000,416.000,5,0,NaN
Aechminella,272.500,268.000,2,0,NaN
Aedotes,501.000,498.500,1,0,NaN
Aeger,242.000,145.500,3,0,NaN
Aegiria,449.500,418.700,8,0,NaN
Aegiromena,460.900,443.700,2,0,NaN
Aegitellus,542.000,520.000,1,0,NaN
Aegoceras,189.600,183.000,5,0,NaN
Aemulophyllum,409.100,388.100,1,0,NaN
Aenigmatoceras,318.100,314.600,16,16,0.0495
Aenona,70.600,65.500,1,0,NaN
Aequipecten,247.200,0.012,107,9,0.0112
Aequspiriferina,247.200,242.000,3,0,NaN
Aeschnogomphus,150.800,145.500,10,10,0.0550
Aeschnopsis,145.500,140.200,1,1,0.0137
Aesopomum,422.900,409.100,6,2,0.0037
Aethocola,28.400,23.030,3,0,NaN
Aetostreon,140.200,136.400,4,0,NaN
Aexitrophocrinus,339.400,306.950,5,0,NaN
Afiacyathus,520.000,513.000,30,0,NaN
Afilasma,379.500,376.100,1,1,0.0018
Africogryphaea,171.600,155.700,14,13,0.0583
Afrocardium,11.608,0.012,2,0,NaN
Afrocytheridea,164.700,155.700,16,0,NaN
Afrollonia,65.500,61.700,1,0,NaN
Aganaster,345.300,342.800,1,0,NaN
Agapilia,33.900,28.400,1,0,NaN
Agaricia,28.400,0.00303,310,170,0.0821
Agariciella,0.12,0.12,1,1,0.0333
Agaricocrinus,345.300,345.000,8,2,0.0076
Agarikophyllum,272.500,259.000,1,0,NaN
Agaronia,61.700,15.970,11,6,0.0083
Agassizia,40.400,23.030,10,2,0.0537
Agassizocrinus,336.000,318.100,9,5,0.0071
Agastophyllum,391.900,383.700,3,0,NaN
Agastrocyathus,520.000,513.000,14,0,NaN
Agathelia,136.400,28.400,14,1,0.0284
Agathiceras,303.400,259.000,58,5,0.0471
Agathiphyllia,65.500,11.608,72,8,0.0713
Agathocrinus,376.100,360.700,1,0,NaN
Agatrix,6.8,2.588,2,0,NaN
Agelacrinites,460.900,449.500,1,0,NaN
Agelasina,93.500,89.300,6,0,NaN
Agelesia,279.500,272.500,20,0,NaN
Agerchlamys,201.600,189.600,1,0,NaN
Agerina,488.300,466.000,3,0,NaN
Agerostrea,83.500,65.500,4,1,0.0714
Agetolitella,449.500,443.700,4,0,NaN
Agetolites,457.500,443.700,32,0,NaN
Aggomorphastraea,167.700,161.200,3,0,NaN
Aghdarbandites,247.200,242.000,22,20,0.4013
Agladrillia,3.600,2.588,3,0,NaN
Aglaocrinus,318.100,311.450,1,0,NaN
Aglaoglypta,388.100,376.100,3,0,NaN
Agnesia,388.100,342.800,2,0,NaN
Agniesella,388.100,383.700,2,0,NaN
Agnostocrinus,290.100,265.000,2,1,0.0039
Agnostus,513.000,501.000,4,1,0.0127
Agoniatites,416.000,383.700,33,0,NaN
Agraulos,513.000,488.300,3,0,NaN
Agrillium,145.500,140.200,4,4,0.0137
Agriopleura,136.400,70.600,22,0,NaN
Agriopoma,23.030,2.588,2,0,NaN
Agrostyliastraea,122.460,99.600,2,0,NaN
Aguilerella,196.500,145.500,3,1,0.0423
Agyrekia,516.000,513.000,1,1,0.0559
Ahtiella,466.000,463.500,1,0,NaN
Aimulosia,3.600,2.588,1,0,NaN
Ainia,428.200,422.900,1,0,NaN
Ainigmacrinus,235.000,221.500,1,0,NaN
Airtonia,345.300,345.000,1,0,NaN
Ajacicyathellus,520.000,513.000,3,0,NaN
Ajacicyathus,530.000,513.000,94,0,NaN
Aka,235.000,109.000,9,0,NaN
Akagophyllum,279.500,272.500,4,0,NaN
Akasakiella,265.000,259.000,2,1,0.0008
Akatopora,85.800,83.500,1,1,0.1000
Akera,171.600,28.400,9,1,0.0082
Akiyosiphyllum,345.300,326.400,2,0,NaN
Akleistostoma,3.600,2.588,3,0,NaN
Akmilleria,295.000,279.500,2,0,NaN
Aknisophyllum,416.000,412.300,3,0,NaN
Akrosphaerorthoceras,418.700,416.000,1,1,0.0625
Aktugaiella,498.500,488.300,1,0,NaN
Alaba,3.600,2.588,1,0,NaN
Alabina,7.0,2.588,4,3,0.0180
Alacephalus,520.000,513.000,3,0,NaN
Alaina,412.300,409.100,3,0,NaN
Alaionema,412.300,388.100,2,1,0.0690
Alaiophyllum,388.100,376.100,11,4,0.0049
Alakiria,221.500,196.500,3,1,0.2000
Alanisia,520.000,516.000,2,0,NaN
Alanites,247.200,242.000,6,5,0.0563
Alaria,201.600,61.700,12,1,0.0029
Alaskacirrus,409.100,402.500,1,1,0.2632
Alaskadiscus,457.500,445.600,31,0,NaN
Alaskaspongia,460.900,449.500,1,0,NaN
Alaskaspongiella,428.200,418.700,1,0,NaN
Alaskiella,409.100,402.500,1,1,0.1579
Alaskospira,436.000,391.900,14,0,NaN
Alaskozygopleura,391.900,388.100,2,0,NaN
Alastega,426.200,422.900,1,1,0.0905
Alataucyathus,520.000,516.000,24,0,NaN
Alataurus,520.000,516.000,1,0,NaN
Alatoproductus,254.000,252.300,2,0,NaN
Alatorthotetina,259.000,254.000,3,0,NaN
Albanites,251.300,247.200,1,0,NaN
Albansia,513.000,501.000,1,0,NaN
Albertechinus,409.100,379.500,34,0,NaN
Albertella,516.000,505.000,2,0,NaN
Albertellina,516.000,513.000,1,0,NaN
Albertelloides,516.000,513.000,2,0,NaN
Alberticoryphe,416.000,388.100,5,0,NaN
Alborsella,501.000,488.300,1,0,NaN
Albrunnicola,516.000,513.000,4,0,NaN
Alceste,449.500,443.700,2,2,0.0088
Alconeracyathus,520.000,516.000,2,0,NaN
Aldanella,542.000,516.000,63,10,0.0737
Aldanispirifer,409.100,391.900,1,0,NaN
Aldanocyathus,530.000,513.000,98,0,NaN
Aldanolina,542.000,530.000,1,0,NaN
Aldanotreta,542.000,520.000,5,0,NaN
Aldebarania,70.600,65.500,2,2,1.0000
Alderina,85.800,2.588,2,1,0.1000
Aldina,279.500,272.500,2,2,0.2276
Aldonaia,516.000,513.000,4,2,0.7143
Alectona,13.650,11.608,2,0,NaN
Alectryonella,3.600,0.12,3,0,NaN
Alectryonia,201.600,33.900,28,0,NaN
Aleodonta,426.200,422.900,1,0,NaN
Aleteceras,105.300,99.600,3,0,NaN
Alexandricyathus,516.000,513.000,5,0,NaN
Alexandronautilus,259.000,254.000,2,0,NaN
Alexenia,303.400,265.000,5,1,0.0769
Alexogyra,235.000,232.000,1,1,0.0095
Algericeras,99.600,93.500,1,0,NaN
Algerina,422.900,421.300,3,1,0.0005
Algerites,99.600,93.500,1,0,NaN
Aliabadia,212.000,205.600,1,0,NaN
Alichovia,471.800,460.900,2,0,NaN
Aliculastrum,28.400,2.588,3,1,0.0400
Aligena,5.332,2.588,1,0,NaN
Alisocrinus,428.200,422.900,3,0,NaN
Alispira,443.700,422.900,3,0,NaN
Alispirifer,345.300,326.400,1,0,NaN
Alispiriferella,295.000,259.000,8,0,NaN
Alitaria,339.400,326.400,3,0,NaN
Allagecrinus,364.700,326.400,5,0,NaN
Allanaria,383.700,376.100,6,0,NaN
Allanella,388.100,376.100,23,0,NaN
Allantopora,65.500,61.700,1,1,0.0205
Allassospongia,383.700,376.100,1,0,NaN
Allatheca,542.000,513.000,37,13,0.0805
Alleynodictyon,460.900,455.800,3,0,NaN
Allocatillocrinus,336.000,326.400,1,0,NaN
Alloclionites,221.500,205.600,1,0,NaN
Allocoenia,167.700,145.500,15,2,0.1543
Allocoeniopsis,201.600,164.700,13,1,0.0926
Allocosmia,247.200,235.000,4,3,0.0016
Allocotoceras,478.600,466.000,1,0,NaN
Allocrinus,436.000,418.700,13,1,0.0051
Allocystites,436.000,422.900,1,0,NaN
Allodesma,457.500,452.000,2,0,NaN
Alloiteausmilia,189.600,183.000,2,2,0.0089
Allomma,99.600,93.500,1,1,0.0013
Allonychia,460.900,449.500,4,0,NaN
Allophyllum,259.000,254.000,1,0,NaN
Allopiloceras,488.300,471.800,1,0,NaN
Alloprosallocrinus,345.300,345.000,5,2,0.0134
Allorhynchus,364.700,252.300,35,2,0.0041
Allorisma,339.400,254.000,14,3,0.0023
Allosaccus,468.100,463.500,5,0,NaN
Allosocrinus,290.100,279.500,1,1,0.0039
Allostrophia,235.000,232.000,1,0,NaN
Allotropiocarinophyllum,298.900,295.000,1,0,NaN
Allotropiochisma,303.400,254.000,12,8,0.1471
Allotropiophyllum,443.700,254.000,29,0,NaN
Allozygocrinus,436.000,428.200,2,0,NaN
Allumettoceras,452.000,445.600,15,3,0.5724
Almites,298.900,272.500,13,2,0.4278
Aloconatica,2.588,0.781,1,0,NaN
Aloidis,23.030,0.012,7,5,0.0370
Alokistocare,513.000,505.000,17,1,0.0526
Alokistocarella,516.000,501.000,2,0,NaN
Alpavlia,298.900,279.500,13,3,0.0218
Alphachoristites,318.100,306.950,1,1,0.0016
Alphaneospirifer,254.000,252.300,8,0,NaN
Alpinophyllia,221.500,201.600,6,2,0.0308
Alpinoseris,205.600,201.600,2,1,0.0076
Alpinothalamia,242.000,205.600,34,0,NaN
Alpinotubus,235.000,221.500,1,0,NaN
Alsatites,201.600,196.500,6,2,0.0108
Altaicyathus,516.000,513.000,3,0,NaN
Altaiophyllum,391.900,383.700,2,0,NaN
Altaja,428.200,422.900,6,0,NaN
Altajella,412.300,409.100,5,0,NaN
Alternifenestella,388.100,252.300,66,2,0.0018
Altha,478.600,466.000,1,0,NaN
Altiocculus,513.000,501.000,2,0,NaN
Altiplecus,298.900,259.000,13,1,0.0577
Altrix,48.600,40.400,2,0,NaN
Altudoceras,272.500,259.000,15,0,NaN
Alula,272.500,268.000,1,0,NaN
Alurites,318.100,314.600,15,15,0.0279
Alvania,65.500,0.000,20,7,0.0139
Alveinus,15.970,11.608,3,0,NaN
Alveolitella,412.300,382.400,37,0,NaN
Alveolites,436.000,254.000,363,8,0.0312
Alveopora,58.700,0.005,99,9,0.0628
Alvinia,0.126,0.012,2,0,NaN
Amalda,28.400,0.012,11,1,0.0203
Amaltheocrinus,189.600,183.000,3,0,NaN
Amaltheus,189.600,183.000,18,11,0.0238
Amandaraia,418.700,412.300,1,0,NaN
Amandophyllum,314.600,268.000,5,0,NaN
Amaraphyllum,391.900,383.700,2,0,NaN
Amarassites,221.500,205.600,1,0,NaN
Amarodes,150.800,145.500,1,1,0.0053
Amaura,3.600,2.588,2,0,NaN
Amaurellina,70.600,33.900,10,2,0.0033
Amauropsis,242.000,15.970,13,1,0.0017
Amaurotoma,345.000,272.500,11,2,0.0558
Amberleya,196.500,189.600,1,0,NaN
Ambigostrea,99.600,70.600,5,2,0.0381
Ambikella,290.100,252.300,8,0,NaN
Ambites,252.300,251.300,6,1,0.5000
Ambithalamia,254.000,252.300,1,0,NaN
Amblychilepas,0.126,0.012,1,0,NaN
Amblycranium,488.300,468.100,8,2,0.0035
Amblypygus,55.800,48.600,1,0,NaN
Amblysiphonella,449.500,201.600,205,41,0.1305
Amblysiphonelloides,460.900,443.700,2,0,NaN
Amblytochiton,460.900,449.500,1,0,NaN
Ambocoelia,418.700,295.000,81,19,0.0271
Ambonolium,498.500,488.300,1,0,NaN
Ambonychia,471.800,421.300,271,198,0.0478
Ambonychinia,455.800,449.500,17,13,0.0078
Ambonychiopsis,452.000,449.500,19,1,0.0037
Ambostracon,23.030,13.650,2,0,NaN
Ambothyris,416.000,376.100,6,0,NaN
Ambozone,313.800,272.500,6,6,0.0123
Amecephalina,516.000,513.000,1,0,NaN
Amecephaloides,516.000,513.000,1,0,NaN
Amecephalus,513.000,505.000,26,0,NaN
Amechilus,488.300,478.600,2,0,NaN
Amecystis,460.900,449.500,4,0,NaN
Americardia,6.6,0.007145,24,7,0.0053
Ameropiltonia,360.700,353.800,3,0,NaN
Ametoria,272.500,268.000,2,0,NaN
Ameura,339.400,298.900,6,2,0.2041
Amgaspis,513.000,505.000,2,0,NaN
Amiantis,11.608,0.12,3,0,NaN
Amictocracens,504.000,501.000,1,0,NaN
Amicytheridea,171.600,161.200,19,0,NaN
Amissopecten,409.100,388.100,12,0,NaN
Amitchellia,145.500,140.200,2,2,0.1667
Ammagnostus,513.000,498.500,4,1,0.0081
Ammonoceratites,112.030,99.600,1,0,NaN
Ammotibetites,221.500,215.560,4,0,NaN
Amnestostroma,416.000,409.100,1,0,NaN
Amnicola,28.400,20.430,1,0,NaN
Amoeboceras,155.700,150.800,2,0,NaN
Amoenirhynchia,235.000,221.500,3,2,0.3536
Amoenophyllites,416.000,391.900,2,0,NaN
Amoenospirifer,409.100,388.100,16,5,0.0735
Amonotis,235.000,221.500,1,0,NaN
Amoria,0.126,0.012,3,0,NaN
Amotapus,55.800,48.600,1,1,0.0645
Ampakabastraea,221.500,155.700,8,1,0.0476
Ampelocrinus,336.000,326.400,1,0,NaN
Ampezzalina,212.000,205.600,1,1,0.0146
Ampezzania,221.500,205.600,4,0,NaN
Ampezzogyra,235.000,232.000,1,1,0.0190
Ampezzonaticopsis,232.000,221.500,1,0,NaN
Ampezzopleura,251.300,205.600,6,2,0.0043
Ampezzotrochus,235.000,232.000,1,0,NaN
Amphelissa,388.100,383.700,1,0,NaN
Amphiastrea,164.700,93.500,71,16,0.0255
Amphiaulastrea,150.800,122.460,15,11,0.0237
Amphibleptula,155.700,150.800,2,0,NaN
Amphiblestrum,161.200,150.800,2,0,NaN
Amphiclina,235.000,201.600,17,2,0.0014
Amphiclinodonta,232.000,183.000,3,1,0.0013
Amphicoelia,455.800,421.300,10,3,0.0199
Amphicrinus,336.000,326.400,6,0,NaN
Amphicyrtoceras,443.700,422.900,20,0,NaN
Amphidonte,161.200,65.500,46,13,0.1752
Amphigeisina,530.000,501.000,15,2,0.0569
Amphigenia,391.900,388.100,6,1,1.0000
Amphigraptus,460.900,455.800,1,0,NaN
Amphilectella,83.500,70.600,2,0,NaN
Amphilichas,466.000,443.700,71,10,0.0084
Amphimeandra,161.200,150.800,1,0,NaN
Amphiocoelia,422.900,421.300,1,0,NaN
Amphiope,28.400,23.030,1,0,NaN
Amphipella,279.500,272.500,2,0,NaN
Amphiphora,150.800,145.500,1,0,NaN
Amphiplecia,449.500,443.700,1,0,NaN
Amphipopanoceras,247.200,242.000,5,5,0.0920
Amphipora,428.200,370.600,288,40,0.3018
Amphipsalidocrinus,428.200,418.700,5,0,NaN
Amphiscapha,326.400,272.500,63,43,0.0699
Amphisella,443.700,416.000,1,0,NaN
Amphissites,402.500,252.300,41,4,0.0450
Amphistrophia,436.000,421.300,15,0,NaN
Amphithalamus,15.970,0.000,5,0,NaN
Amphithelion,83.500,70.600,12,3,0.0096
Amphitomaria,235.000,205.600,2,2,0.0247
Amphitriscoelus,125.450,112.030,19,0,NaN
Amphitrochus,183.000,164.700,7,5,0.2732
Amphiura,99.600,65.500,7,2,0.0152
Amphoracrinus,345.300,345.000,4,1,0.0068
Amphorithalamia,268.000,265.000,1,0,NaN
Amphorometra,83.500,70.600,1,0,NaN
Amphytrion,455.800,443.700,7,0,NaN
Amplaspongia,460.900,449.500,3,0,NaN
Amplexiphyllum,409.100,383.700,17,0,NaN
Amplexizaphrentis,353.800,254.000,36,1,0.0068
Amplexocarinia,391.900,254.000,45,3,0.0352
Amplexograptus,466.000,445.600,22,0,NaN
Amplexoides,443.700,418.700,15,0,NaN
Amplexopora,466.000,445.600,70,11,0.0839
Amplexus,428.200,259.000,47,5,0.0459
Ampullina,242.000,11.608,123,39,0.0202
Ampullinopsis,37.200,20.430,26,1,0.0400
Ampullonatica,33.900,28.400,2,0,NaN
Ampullospira,235.000,15.970,47,20,0.0283
Ampuloides,428.200,418.700,1,0,NaN
Ampyx,478.600,445.600,44,0,NaN
Ampyxella,455.800,452.000,2,0,NaN
Ampyxina,478.600,452.000,11,0,NaN
Ampyxinella,455.800,449.500,2,0,NaN
Ampyxoides,471.800,460.900,2,0,NaN
Amsassia,460.900,449.500,1,0,NaN
Amsassipora,449.500,443.700,1,0,NaN
Amsdenina,422.900,418.700,2,0,NaN
Amsdenoides,443.700,416.000,1,0,NaN
Amuletum,55.800,48.600,1,1,0.0123
Amusium,242.000,0.012,69,8,0.0140
Amussiopecten,33.900,2.588,16,1,0.0015
Amydroptychus,171.600,155.700,5,4,0.0327
Amygdalocosta,259.000,252.300,2,0,NaN
Amygdalocystites,460.900,449.500,4,0,NaN
Amygdalophylloides,345.300,268.000,17,1,0.6364
Amygdalophyllum,360.700,318.100,5,0,NaN
Amygdalum,28.400,23.030,1,0,NaN
Anabarella,542.000,501.000,58,2,0.0041
Anabaria,428.200,422.900,2,0,NaN
Anabaroconus,513.000,501.000,4,2,0.1684
Anabolotreta,504.000,498.500,7,1,0.0500
Anachis,28.400,0.007145,13,6,0.0158
Anacoloptera,145.500,140.200,1,1,0.0137
Anadara,37.200,0.006957,129,13,0.0146
Anaflemingites,251.300,247.200,13,0,NaN
Anagaudryceras,99.600,70.600,4,1,0.0028
Anagymnotoceras,247.200,242.000,5,5,0.2874
Anahamulina,130.000,112.030,9,0,NaN
Analox,516.000,513.000,1,0,NaN
Analytoceras,201.600,196.500,2,1,0.0182
Ananaspis,428.200,418.700,4,0,NaN
Ananias,345.000,242.000,69,52,0.0529
Ananterodonta,466.000,460.900,1,0,NaN
Anapachydiscus,83.500,65.500,4,0,NaN
Anapagurus,7.246,5.332,1,0,NaN
Anapetopsis,428.200,426.200,1,0,NaN
Anaphragma,460.900,449.500,4,0,NaN
Anapliomera,460.900,449.500,1,1,0.0789
Anaptychius,279.500,272.500,3,3,0.0884
Anaptyctocyathus,520.000,513.000,4,0,NaN
Anarcestes,409.100,383.700,17,0,NaN
