"phylum","class","order","family","otu"
"Arthropoda","Trilobita","Proetida","Brachymetopidae","Australosutura"
"Arthropoda","Trilobita","Proetida","Proetidae","Carbonocoryphe"
"Arthropoda","Trilobita","Proetida","Proetidae","Thigriffides"
"Arthropoda","Trilobita","Proetida","Proetidae","Pudoproetus"
"Arthropoda","Trilobita","Proetida","Proetidae","Griffithidella"
"Echinodermata","","Spiraculata","Pentremitidae","Pentremites"
"Porifera","Heteractinida","Octactinellida","Wewokellidae","Wewokella"
"Brachiopoda","Strophomenata","Productida","Aulostegidae","Gondolina"
"Chordata","","","","Undichna"
"Echinodermata","Crinoidea","Monobathrida","","Agaricocrinus"
"Brachiopoda","Rhynchonellata","Spiriferida","Elythidae","Phricodothyris"
"Bryozoa","Stenolaemata","Rhabdomesida","Rhomboporidae","Rhombopora"
"Mollusca","Scaphopoda","Dentaliida","Dentaliidae","Plagioglypta"
"Mollusca","Cephalopoda","Goniatitida","Bisatoceratidae","Bisatoceras"
"Mollusca","Cephalopoda","Goniatitida","Glaphyritidae","Glaphyrites"
"Brachiopoda","Strophomenata","Productida","Rugosochonetidae","Chonetinella"
"Brachiopoda","Rhynchonellata","Spiriferida","Ambocoeliidae","Crurithyris"
"Brachiopoda","Rhynchonellata","Athyridida","Neoretziidae","Hustedia"
"Brachiopoda","Lingulata","Lingulida","Disciniidae","Orbiculoidea"
"Brachiopoda","Rhynchonellata","Rhynchonellida","Petasmariidae","Shumardella"
"Brachiopoda","Rhynchonellata","Rhynchonellida","Wellerellidae","Wellerella"
"Mollusca","Gastropoda","","Pseudozygopleuridae","Cyclozyga"
"Brachiopoda","Strophomenata","Orthotetida","Derbyiidae","Derbyia"
"Brachiopoda","Strophomenata","Productida","Productellidae","Marginifera"
"Brachiopoda","Rhynchonellata","Spiriferinida","Punctospiriferidae","Punctospirifer"
"Mollusca","Gastropoda","","Donaldinidae","Donaldina"
"Mollusca","Bivalvia","Carditida","Astartidae","Astartella"
"Mollusca","Bivalvia","Nuculida","Nuculidae","Nucula"
"Mollusca","Bivalvia","Nuculanida","Nuculanidae","Phestia"
"Mollusca","Gastropoda","Bellerophontida","Euphemitidae","Euphemites"
"Mollusca","Gastropoda","Murchisoniina","Lophospiridae","Worthenia"
"Mollusca","Gastropoda","Murchisoniina","Zygopleuridae","Zygopleura"
"Brachiopoda","Rhynchonellata","Athyridida","Athyrididae","Composita"
"Brachiopoda","Rhynchonellata","Orthida","Enteletidae","Enteletes"
"Brachiopoda","Strophomenata","Productida","Productellidae","Hystriculina"
"Brachiopoda","Rhynchonellata","Spiriferida","Trigonotretidae","Neospirifer"
"Cnidaria","Anthozoa","Stauriida","Lophophyllidiidae","Lophophyllidium"
"Mollusca","Gastropoda","Euomphalina","Anomphalidae","Anomphalus"
"Mollusca","Gastropoda","","Pseudozygopleuridae","Pseudozygopleura"
"Mollusca","Gastropoda","Euomphalina","Euomphalidae","Straparollus"
"Brachiopoda","Strophomenata","Productida","Rugosochonetidae","Plicochonetes"
"Brachiopoda","Rhynchonellata","Orthida","Rhipidomellidae","Rhipidomella"
"Brachiopoda","Strophomenata","Productida","Rugosochonetidae","Neochonetes"
"Brachiopoda","Strophomenata","Productida","Rugosochonetidae","Rugosochonetes"
"Mollusca","Gastropoda","Murchisoniina","Gosseletinidae","Trepospira"
"Bryozoa","Stenolaemata","Trepostomida","Stenoporidae","Tabulipora"
"Brachiopoda","Strophomenata","Productida","Anopliidae","Chonetina"
"Bryozoa","Stenolaemata","Fenestrata","","Fenestrellina"
"Bryozoa","Stenolaemata","Fenestrida","Septoporidae","Septopora"
"Bryozoa","Stenolaemata","Fenestrida","Polyporidae","Polypora"
"Bryozoa","Stenolaemata","Fenestrata","","Ptylopora"
"Bryozoa","Stenolaemata","Rhabdomesida","Rhabdomesidae","Rhabdomeson"
"Mollusca","Gastropoda","","Portlockiellidae","Shansiella"
"Mollusca","Gastropoda","Bellerophontida","Tropidodiscidae","Sinuitina"
"Mollusca","Bivalvia","Mytilida","Mytilidae","Modiolus"
"Mollusca","Bivalvia","Nuculanida","Nuculanidae","Nuculana"
"Mollusca","Bivalvia","Nuculida","Nuculidae","Nuculopsis"
"Mollusca","Gastropoda","Euomphalina","Elasmonematidae","Anematina"
"Brachiopoda","Rhynchonellata","Spiriferida","Spiriferidae","Anthracospirifer"
"Mollusca","Gastropoda","Euomphalina","Platyceratidae","Platyceras"
"Cnidaria","Scyphozoa","Conulariida","Conulariidae","Paraconularia"
"Porifera","Demospongea","Agelasida","Girtyocoeliidae","Girtycoelia"
"Brachiopoda","Strophomenata","Productida","Productellidae","Desmoinesia"
"Mollusca","Gastropoda","Murchisoniina","Gosseletinidae","Glabrocingulum"
"Mollusca","Gastropoda","","Goniasmatidae","Goniasma"
"Mollusca","Gastropoda","","Meekospiridae","Meekospira"
"Mollusca","Gastropoda","","Orthonematidae","Orthonema"
"Mollusca","Gastropoda","","Phymatopleuridae","Phymatopleura"
"Brachiopoda","Strophomenata","Productida","Productidae","Antiquatonia"
"Brachiopoda","Rhynchonellata","Athyridida","Athyrididae","Cleiothyridina"
"Brachiopoda","Strophomenata","Productida","Echinoconchidae","Juresania"
"Bryozoa","Stenolaemata","Cystoporida","Fistuliporidae","Fistulipora"
"Brachiopoda","Strophomenata","Orthotetida","Meekellidae","Meekella"
"Brachiopoda","Rhynchonellata","Orthida","Schizophoriidae","Schizophoria"
"Mollusca","Gastropoda","","Naticopsidae","Naticopsis"
"Mollusca","Gastropoda","Bellerophontida","Bellerophontidae","Pharkidonotus"
"Mollusca","Cephalopoda","Goniatitida","Neoicoceratidae","Eoasianites"
"Mollusca","Cephalopoda","Goniatitida","Pseudohaloritidae","Neoaganides"
"Mollusca","Cephalopoda","Bactritida","Bactritidae","Bactrites"
"","","Hyolithelminthida","Hyolithellidae","Hyolithellus"
"Hyolitha","","Hyolithida","Hyolithidae","Hyolithes"
"Brachiopoda","Obolellata","Obolellida","Obolellidae","Obolella"
"Arthropoda","Trilobita","Ptychopariida","Atopidae","Atops"
"Arthropoda","Trilobita","Redlichiida","Holmiidae","Elliptocephala"
"Arthropoda","Trilobita","Agnostida","Weymouthiidae","Serrodiscus"
"Arthropoda","Trilobita","Agnostida","Solenopleuridae","Rimouskia"
"Brachiopoda","Lingulata","Lingulida","Acrothelidae","Acrothele"
"Brachiopoda","Lingulata","Acrotretida","Acrotretidae","Acrotreta"
"Brachiopoda","Obolellata","Obolellida","Obolellidae","Bicia"
"Brachiopoda","Lingulata","Lingulida","Botsfordiidae","Botsfordia"
"Brachiopoda","Lingulata","Lingulida","Obolidae","Lingulella"
"Brachiopoda","Paterinata","Paterinida","Paterinidae","Micromitra"
"Brachiopoda","Lingulata","Lingulida","Obolidae","Obolus"
"Mollusca","Helcionelloida","Helcionellida","Helcionellidae","Helcionella"
"Mollusca","Tergomya","","Scenellidae","Scenella"
"Mollusca","Bivalvia","Fordillida","Fordillidae","Fordilla"
"Arthropoda","Trilobita","Corynexochida","Dorypygidae","Olenoides"
"Arthropoda","Trilobita","Corynexochida","Dorypygidae","Protypus"
"Arthropoda","Trilobita","Agnostida","Solenopleuridae","Solenopleura"
"Arthropoda","Trilobita","Corynexochida","Dorypygidae","Bonniopsis"
"Arthropoda","Trilobita","Redlichiida","Olenellidae","Paedeumias"
"Hyolitha","","Orthothecida","Circothecidae","Circotheca"
"Arthropoda","Trilobita","Corynexochida","Dorypygidae","Bonnia"
"Arthropoda","Trilobita","Corynexochida","Dorypygidae","Kootenia"
"Arthropoda","Trilobita","Corynexochida","Zacanthoididae","Prozacanthoides"
"Brachiopoda","Kutorginata","Kutorginida","Kutorginidae","Kutorgina"
"Problematica","","","","Coleoloides"
"Brachiopoda","Kutorginata","Kutorginida","Nisusiidae","Nisusia"
"Arthropoda","Trilobita","Ptychopariida","Antagmidae","Antagmus"
"Arthropoda","Trilobita","Ptychopariida","Ptychopariidae","Eoptychoparia"
"Arthropoda","Trilobita","Redlichiida","Olenellidae","Olenellus"
"Brachiopoda","Lingulata","Acrotretida","","Hadrotreta"
"Brachiopoda","Lingulata","Lingulida","Acrothelidae","Eothele"
"Brachiopoda","Paterinata","Paterinida","Paterinidae","Paterina"
"Echinodermata","Eocrinoidea","Ascocystitida","","Eocystites"
"Porifera","Demospongea","Protomonaxonida","Leptomitidae","Leptomitus"
"Arthropoda","Trilobita","Agnostida","Eodiscidae","Pagetides"
"Arthropoda","Trilobita","Redlichiida","Chengkouaspidae","Bathynotus"
"Arthropoda","Trilobita","Ptychopariida","Antagmidae","Periomma"
"Arthropoda","Trilobita","Ptychopariida","Ptychopariidae","Ptychoparella"
"Arthropoda","","","","Protocaris"
"Arthropoda","Malacostraca","Phyllocarida","","Tuzoia"
"Arthropoda","Trilobita","Redlichiida","Holmiidae","Esmeraldina"
"Arthropoda","Trilobita","Ptychopariida","Ptychopariidae","Billingsaspis"
"Arthropoda","Trilobita","Ptychopariida","Antagmidae","Onchocephalus"
"Arthropoda","Trilobita","Agnostida","Eodiscidae","Pagetia"
"Arthropoda","Trilobita","Ptychopariida","Ptychopariidae","Spencella"
"Arthropoda","Trilobita","Ptychopariida","Ptychopariidae","Caborcella"
"Arthropoda","Trilobita","Corynexochida","Zacanthoididae","Mexicaspis"
"Arthropoda","Trilobita","Ptychopariida","Ptychopariidae","Onchocephalites"
"Arthropoda","Trilobita","Ptychopariida","Alokistocaridae","Amecephalina"
"Arthropoda","Trilobita","Corynexochida","Dolichometopidae","Poliella"
"Mollusca","Helcionelloida","Helcionellida","Coreospiridae","Latouchella"
"Arthropoda","Trilobita","Ptychopariida","Ptychopariidae","Syspacephalus"
"Arthropoda","Trilobita","Ptychopariida","Asaphiscidae","Asaphiscus"
"Arthropoda","Trilobita","Agnostida","Peronopsidae","Peronopsis"
"Problematica","","","","Biconulites"
"Porifera","Demospongea","Lithistida","Anthaspidellidae","Rankenella"
"Echinodermata","Eocrinoidea","","","Cymbionites"
"Echinodermata","Eocrinoidea","","","Peridionites"
"Brachiopoda","Lingulata","Acrotretida","Acrotretidae","Linnarssonia"
"Brachiopoda","Lingulata","Acrotretida","","Acrothyra"
"Brachiopoda","Lingulata","Acrotretida","Acrotretidae","Prototreta"
"Arthropoda","Trilobita","Ptychopariida","Alokistocaridae","Alokistocare"
"Arthropoda","Trilobita","Ptychopariida","Alokistocaridae","Elrathia"
"Arthropoda","Trilobita","Corynexochida","Dolichometopidae","Glossopleura"
"Arthropoda","Trilobita","Corynexochida","Dolichometopidae","Anoria"
"Arthropoda","Trilobita","Corynexochida","Dolichometopidae","Clavaspidella"
"Arthropoda","Trilobita","Agnostida","Ptychagnostidae","Ptychagnostus"
"Arthropoda","Trilobita","Agnostida","Ptychagnostidae","Tomagnostus"
"Arthropoda","Trilobita","Corynexochida","Dolichometopidae","Bathyuriscus"
"Arthropoda","Trilobita","Ptychopariida","Ptychopariidae","Elrathina"
"","","Hyolithelminthida","","Byronia"
"Problematica","","","","Tubulella"
"Arthropoda","Trilobita","Corynexochida","Dorypygidae","Ogygopsis"
"Arthropoda","Trilobita","Corynexochida","Oryctocephalidae","Oryctocephalus"
"Arthropoda","","Canadaspidida","Canadaspididae","Canadaspis"
"Arthropoda","","Canadaspidida","","Perspicaris"
"Arthropoda","","","","Plenocaris"
"Arthropoda","","Radiodonta","Anomalocarididae","Anomalocaris"
"Brachiopoda","Paterinata","Paterinida","Paterinidae","Dictyonina"
"Cnidaria","Anthozoa","","Echmatocrinidae","Echmatocrinus"
"Echinodermata","Eocrinoidea","Gogiida","Eocrinidae","Gogia"
"Hemichordata","Graptolithina","","","Chaunograptus"
"Porifera","Demospongea","Protomonaxonida","Hazeliidae","Hazelia"
"Porifera","Hexactinellida","Reticulosa","Protospongiidae","Protospongia"
"Porifera","Heteractinida","Octactinellida","Eiffeliidae","Eiffelia"
"Problematica","Coeloscleritophora","Chancelloriida","Chancelloriidae","Chancelloria"
"Arthropoda","Trilobita","Corynexochida","Zacanthoididae","Zacanthoides"
"Arthropoda","Trilobita","Corynexochida","Zacanthoididae","Parkaspis"
"Arthropoda","Trilobita","Ptychopariida","Ptychopariidae","Pachyaspis"
"Arthropoda","Trilobita","Ptychopariida","Alokistocaridae","Ehmaniella"
"Arthropoda","Trilobita","Ptychopariida","Alokistocaridae","Chancia"
"Arthropoda","Trilobita","Agnostida","Solenopleuridae","Solenopleurella"
"Arthropoda","Trilobita","Agnostida","Agnostidae","Agnostus"
"Arthropoda","Trilobita","Ptychopariida","Menomoniidae","Bolaspidella"
"Arthropoda","","","","Pseudoarctolepis"
"Arthropoda","Trilobita","Agnostida","Diplagnostidae","Baltagnostus"
"Arthropoda","Trilobita","Ptychopariida","Kingstoniidae","Brachyaspidion"
"Arthropoda","Trilobita","Ptychopariida","Alokistocaridae","Jenkinsonia"
"Arthropoda","Trilobita","Agnostida","Marjumiidae","Modocia"
"Porifera","Demospongea","Protomonaxonida","Choiidae","Choia"
"Brachiopoda","Lingulata","Lingulida","Obolidae","Lingulepis"
"Arthropoda","Trilobita","Agnostida","","Grandagnostus"
"Arthropoda","Trilobita","Agnostida","Spinagnostidae","Hypagnostus"
"Arthropoda","Trilobita","Agnostida","Metagnostidae","Quadragnostus"
"Arthropoda","Trilobita","Agnostida","","Hastagnostus"
"Arthropoda","Trilobita","Redlichiida","Centropleuridae","Centropleura"
"Arthropoda","Trilobita","Ptychopariida","Catillicephalidae","Onchonotopsis"
"Arthropoda","Trilobita","Ptychopariida","Llanoaspididae","Genevievella"
"Arthropoda","Trilobita","Ptychopariida","Ptychopariidae","Vermontella"
"Arthropoda","Trilobita","Ptychopariida","Catillicephalidae","Catillicephala"
"Arthropoda","Trilobita","Ptychopariida","Alokistocaridae","Alokistocarella"
"Arthropoda","Trilobita","Ptychopariida","Holocephalinidae","Meneviella"
"Arthropoda","Trilobita","Ptychopariida","Bolaspididae","Rawlinsella"
"Brachiopoda","Lingulata","Acrotretida","Acrotretidae","Angulotreta"
"Brachiopoda","Lingulata","Lingulida","Obolidae","Dicellomus"
"Arthropoda","Trilobita","Ptychopariida","Cedariidae","Cedaria"
"Arthropoda","Trilobita","Ptychopariida","Tricrepicephalidae","Tricrepicephalus"
"Arthropoda","Trilobita","Ptychopariida","Crepicephalidae","Coosella"
"Arthropoda","Trilobita","Ptychopariida","Cedariidae","Cedarina"
"Arthropoda","Trilobita","Ptychopariida","Kingstoniidae","Kingstonia"
"Mollusca","Helcionelloida","Helcionellida","Helcionellidae","Cycloholcus"
"Mollusca","Helcionelloida","Pelagiellida","Pelagiellidae","Pelagiella"
"Arthropoda","Trilobita","Agnostida","Agnostidae","Kormagnostus"
"Arthropoda","Trilobita","Ptychopariida","Kingstoniidae","Blountia"
"Arthropoda","Trilobita","Ptychopariida","Llanoaspididae","Arcuolimbus"
"Arthropoda","Trilobita","Ptychopariida","Llanoaspididae","Llanoaspis"
"Arthropoda","Trilobita","Ptychopariida","Menomoniidae","Densonella"
"Arthropoda","Trilobita","Ptychopariida","Norwoodiidae","Norwoodia"
"Arthropoda","Trilobita","Ptychopariida","Norwoodiidae","Holcacephalus"
"Arthropoda","Trilobita","Ptychopariida","Tricrepicephalidae","Meteoraspis"
"Arthropoda","Trilobita","Ptychopariida","Llanoaspididae","Deiracephalus"
"Brachiopoda","Lingulata","Lingulida","Dysoristidae","Dysoristus"
"Brachiopoda","Lingulata","Acrotretida","Acrotretidae","Apsotreta"
"Brachiopoda","Lingulata","Acrotretida","Acrotretidae","Opisthotreta"
"Brachiopoda","Rhynchonellata","Orthida","Bohemiellidae","Diraphora"
"Arthropoda","Trilobita","","","Kinsabia"
"Arthropoda","Trilobita","Ptychopariida","Lonchocephalidae","Glaphyraspis"
"Arthropoda","Trilobita","Asaphida","Aphelaspididae","Aphelaspis"
"Arthropoda","Trilobita","Corynexochida","Cheilocephalidae","Cheilocephalus"
"Arthropoda","Trilobita","Ptychopariida","Kingstoniidae","Maryvillia"
"Arthropoda","Trilobita","Asaphida","Aphelaspididae","Labiostria"
"Mollusca","Tergomya","Hypseloconida","","Hypseloconus"
"Mollusca","Tergomya","Tryblidiida","Tryblidiidae","Proplina"
"Brachiopoda","Rhynchonellata","Orthida","Eoorthidae","Eoorthis"
"Brachiopoda","Strophomenata","Billingsellida","Billingsellidae","Billingsella"
"Arthropoda","Trilobita","Asaphida","Aphelaspididae","Dicanthopyge"
"Arthropoda","Trilobita","Agnostida","Diplagnostidae","Pseudagnostus"
"Brachiopoda","Lingulata","Acrotretida","Acrotretidae","Linnarssonella"
"Arthropoda","Trilobita","Ptychopariida","Dokimocephalidae","Sulcocephalus"
"Arthropoda","Trilobita","Ptychopariida","Dokimocephalidae","Burnetiella"
"Arthropoda","Trilobita","Ptychopariida","Dokimocephalidae","Deadwoodia"
"Arthropoda","Trilobita","Ptychopariida","Dokimocephalidae","Dellea"
"Arthropoda","Trilobita","Ptychopariida","Elviniidae","Irvingella"
"Arthropoda","Trilobita","Ptychopariida","Dokimocephalidae","Kyphocephalus"
"Arthropoda","Trilobita","Asaphida","Pterocephaliidae","Pterocephalia"
"Brachiopoda","Lingulata","Lingulida","Elkaniidae","Pseudodicellomus"
"Arthropoda","Trilobita","Asaphida","Pterocephaliidae","Housia"
"Arthropoda","Trilobita","Ptychopariida","Kingstoniidae","Bynumina"
"Arthropoda","Trilobita","Ptychopariida","Dokimocephalidae","Kindbladia"
"Arthropoda","Trilobita","Ptychopariida","Elviniidae","Elvinia"
"Arthropoda","Trilobita","Ptychopariida","Phylacteridae","Cliffia"
"Arthropoda","Trilobita","Asaphida","Parabolinoididae","Parabolinoides"
"Arthropoda","Trilobita","Ptychopariida","Dokimocephalidae","Pinctus"
"Arthropoda","Trilobita","Asaphida","Dikelocephalidae","Stigmacephalus"
"Mollusca","Tergomya","Cyrtonellida","Cyrtolitidae","Sinuella"
"Porifera","Hexactinellida","Reticulosa","","Multivasculatus"
"Arthropoda","Trilobita","Asaphida","Idahoiidae","Idahoia"
"Arthropoda","Trilobita","Asaphida","Ptychaspididae","Ptychaspis"
"Arthropoda","Trilobita","Asaphida","Idahoiidae","Saratogia"
"Arthropoda","Trilobita","Asaphida","Idahoiidae","Wilbernia"
"Arthropoda","Trilobita","Asaphida","Dikelocephalidae","Monocheilus"
"Arthropoda","Trilobita","Ptychopariida","Elviniidae","Drumaspis"
"Arthropoda","Trilobita","Asaphida","Parabolinoididae","Croixana"
"Arthropoda","Trilobita","Asaphida","Eurekiidae","Maladia"
"Arthropoda","Trilobita","Ptychopariida","Dokimocephalidae","Conaspis"
"Arthropoda","Trilobita","Asaphida","Parabolinoididae","Taenicephalus"
"Arthropoda","Trilobita","Agnostida","Diplagnostidae","Litagnostus"
"Brachiopoda","Rhynchonellata","Orthida","Eoorthidae","Otusia"
"Brachiopoda","Rhynchonellata","Pentamerida","Huenellidae","Huenella"
"Brachiopoda","Lingulata","Acrotretida","Ceratretidae","Ceratreta"
"Arthropoda","Trilobita","Asaphida","Parabolinoididae","Kendallina"
"Arthropoda","Trilobita","Asaphida","Parabolinoididae","Orygmaspis"
"Arthropoda","Trilobita","Asaphida","Parabolinoididae","Minkella"
"Arthropoda","Trilobita","Ptychopariida","Dokimocephalidae","Taenicephalina"
"Arthropoda","Trilobita","Corynexochida","Leiostegiidae","Leiostegium"
"Mollusca","Polyplacophora","","Mattheviidae","Matthevia"
"Mollusca","Paragastropoda","Mimospirida","Onychochilidae","Matherella"
"Arthropoda","Trilobita","Asaphida","Dikelocephalidae","Dikelocephalus"
"Arthropoda","Trilobita","Asaphida","Saukiidae","Saukia"
"Arthropoda","Trilobita","Corynexochida","Illaenuridae","Rasettia"
"Arthropoda","Trilobita","Ptychopariida","Plethopeltidae","Plethopeltis"
"Mollusca","Paragastropoda","Mimospirida","Onychochilidae","Scaevogyra"
"Mollusca","Tergomya","Archinacellida","Archinacellidae","Archinacella"
"Mollusca","Helcionelloida","Helcionellida","Coreospiridae","Owenella"
"Arthropoda","Trilobita","Asaphida","Saukiidae","Tellerina"
"Arthropoda","Trilobita","Asaphida","Saukiidae","Saukiella"
"Arthropoda","Trilobita","Corynexochida","Illaenuridae","Illaenurus"
"Arthropoda","Trilobita","Asaphida","Eurekiidae","Eurekia"
"Arthropoda","Trilobita","Ptychopariida","","Corbina"
"Arthropoda","Trilobita","Ptychopariida","Plethopeltidae","Stenopilus"
"Arthropoda","Trilobita","Ptychopariida","Catillicephalidae","Acheilops"
"Arthropoda","Trilobita","Harpetida","Harpetidae","Entomaspis"
"Brachiopoda","Lingulata","Lingulida","Obolidae","Westonia"
"Hemichordata","Graptolithina","Dendroidea","","Dendrograptus"
"Mollusca","Gastropoda","","Sinuopeidae","Schizopea"
"Arthropoda","Xiphosura","Aglaspida","Aglaspididae","Aglaspis"
"Arthropoda","Trilobita","Harpetida","Harpetidae","Bowmania"
"Arthropoda","Trilobita","Asaphida","Ptychaspididae","Euptychaspis"
"Arthropoda","Trilobita","Redlichiida","Fallotaspididae","Fallotaspis"
"Arthropoda","Trilobita","Redlichiida","Fallotaspididae","Daguinaspis"
"Brachiopoda","Paterinata","Paterinida","Paterinidae","Iphidella"
"Hyolitha","","Hyolithida","Sulcavitidae","Linevitus"
"Brachiopoda","Lingulata","Siphonotretida","Siphonotretidae","Schizambon"
"Brachiopoda","Rhynchonellata","Orthida","Eoorthidae","Apheoorthis"
"Arthropoda","Trilobita","Agnostida","Metagnostidae","Geragnostus"
"Arthropoda","Trilobita","Ptychopariida","Eulomidae","Euloma"
"Arthropoda","Trilobita","Asaphida","Nileidae","Symphysurina"
"Hemichordata","Graptolithina","Bireclinata","Lasiograptidae","Hallograptus"
"Mollusca","Gastropoda","Euomphalina","Ophiletidae","Ophileta"
"Mollusca","Gastropoda","Euomphalina","Ophiletidae","Ozarkina"
"Mollusca","Cephalopoda","Ellesmerocerida","Ellesmeroceratidae","Clarkoceras"
"Mollusca","Cephalopoda","Ellesmerocerida","Ellesmeroceratidae","Ellesmeroceras"
"Arthropoda","Trilobita","Aulacopleurida","Hystricuridae","Hystricurus"
"Brachiopoda","Rhynchonellata","Orthida","Finkelnburgiidae","Finkelnburgia"
"Mollusca","Gastropoda","","Sinuopeidae","Gasconadia"
"Mollusca","Cephalopoda","Endocerida","Cyrtendoceratidae","Ectenoceras"
"Arthropoda","Trilobita","Ptychopariida","Kingstoniidae","Clelandia"
"Mollusca","Rostroconchia","Ribeirioida","Technophoridae","Ribeiria"
"Brachiopoda","Strophomenata","Strophomenida","Taffiidae","Aporthophyla"
"Brachiopoda","Rhynchonellata","Pentamerida","Clarkellidae","Syntrophina"
"Brachiopoda","Rhynchonellata","Pentamerida","Tetralobulidae","Syntrophopsis"
"Brachiopoda","Rhynchonellata","Pentamerida","Tetralobulidae","Tetralobula"
"Mollusca","Gastropoda","Murchisoniina","Hormotomidae","Plethospira"
"Arthropoda","Trilobita","Asaphida","Asaphidae","Bellefontia"
"Arthropoda","Trilobita","Asaphida","Remopleurididae","Praepatokephalus"
"Arthropoda","Trilobita","Asaphida","Asaphidae","Xenostegium"
"Hemichordata","Graptolithina","Dendroidea","Dendrograptidae","Dictyonema"
"Brachiopoda","Rhynchonellata","Orthida","Plectorthidae","Nanorthis"
"Arthropoda","Trilobita","Ptychopariida","Olenidae","Parabolinella"
"Arthropoda","Trilobita","Ptychopariida","Shumardiidae","Shumardia"
"Arthropoda","Trilobita","Asaphida","Remopleurididae","Diplapatokephalus"
"Arthropoda","Trilobita","Aulacopleurida","Hystricuridae","Genalaticurus"
"Arthropoda","Trilobita","Asaphida","Remopleurididae","Eorobergia"
"Arthropoda","Trilobita","Phacopida","Pliomeridae","Rossaspis"
"Arthropoda","Trilobita","Ptychopariida","Olenidae","Hypermecaspis"
"Arthropoda","Trilobita","Asaphida","Asaphidae","Asaphellus"
"Arthropoda","Trilobita","Asaphida","Nileidae","Platypeltoides"
"Hemichordata","Graptolithina","","","Rhabdinopora"
"Arthropoda","Trilobita","Proetida","Dimeropygidae","Pseudohystricurus"
"Arthropoda","Trilobita","Agnostida","Agnostidae","Homagnostus"
"Brachiopoda","Rhynchonellata","Pentamerida","Tetralobulidae","Imbricatia"
"Mollusca","Gastropoda","Bellerophontida","Sinuitidae","Cyrtodiscus"
"Mollusca","Gastropoda","Euomphalina","Macluritidae","Macluritella"
"Mollusca","Gastropoda","","Sinuopeidae","Euconia"
"Hemichordata","Graptolithina","Dendroidea","","Bryograptus"
"Brachiopoda","Rhynchonellata","Pentamerida","Clarkellidae","Diaphelasma"
"Mollusca","Gastropoda","Murchisoniina","Hormotomidae","Hormotoma"
"Mollusca","Gastropoda","Euomphalina","Raphistomatidae","Ceratopea"
"Mollusca","Gastropoda","Euomphalina","Ophiletidae","Lecanospira"
"Mollusca","Gastropoda","Bellerophontida","Tropidodiscidae","Tropidodiscus"
"Mollusca","Gastropoda","Bellerophontida","Bucanellidae","Bucanella"
"Arthropoda","Trilobita","Corynexochida","Leiostegiidae","Lloydia"
"Arthropoda","Trilobita","","","Pseudoclelandia"
"Hemichordata","Graptolithina","Dendroidea","","Callograptus"
"Hemichordata","Graptolithina","Dendroidea","","Clonograptus"
"Hemichordata","Graptolithina","","","Mastigograptus"
"Hemichordata","Graptolithina","Dendroidea","","Ptilograptus"
"Cnidaria","Scyphozoa","Conulariida","Conulariidae","Conularia"
"Hemichordata","Graptolithina","Dendroidea","","Triograptus"
"Mollusca","Cephalopoda","Tarphycerida","Estonioceratidae","Aphetoceras"
"Mollusca","Cephalopoda","Ellesmerocerida","Ellesmeroceratidae","Bassleroceras"
"Mollusca","Cephalopoda","Tarphycerida","Tarphyceratidae","Campbelloceras"
"Mollusca","Cephalopoda","Endocerida","Proterocameroceratidae","Clitendoceras"
"Mollusca","Cephalopoda","Tarphycerida","Tarphyceratidae","Seelyoceras"
"Brachiopoda","Strophomenata","Strophomenida","Plectambonitidae","Taphrodonta"
"Brachiopoda","Rhynchonellata","Orthida","Orthidae","Orthambonites"
"Arthropoda","Trilobita","Proetida","Telephinidae","Carolinites"
"Arthropoda","Trilobita","Corynexochida","Illaenidae","Illaenus"
"Arthropoda","Trilobita","Phacopida","Encrinuridae","Cybelurus"
"Arthropoda","Trilobita","Asaphida","Nileidae","Nileus"
"Arthropoda","Trilobita","Asaphida","Asaphidae","Niobe"
"Arthropoda","Trilobita","Asaphida","Nileidae","Peraspis"
"Arthropoda","Trilobita","Corynexochida","Styginidae","Raymondaspis"
"Arthropoda","Trilobita","Proetida","Telephinidae","Telephina"
"Arthropoda","Trilobita","Phacopida","Pliomeridae","Pseudomera"
"Arthropoda","Trilobita","Agnostida","Metagnostidae","Trinodus"
"Arthropoda","Trilobita","Phacopida","Pliomeridae","Ectenonotus"
"Arthropoda","Trilobita","Asaphida","Remopleurididae","Blosyropsis"
"Arthropoda","Trilobita","Corynexochida","Styginidae","Perischoclonus"
"Mollusca","Gastropoda","Euomphalina","Macluritidae","Maclurites"
"Arthropoda","Trilobita","Phacopida","Calymenidae","Protocalymene"
"Arthropoda","Trilobita","Phacopida","Cheiruridae","Kawina"
"Arthropoda","Trilobita","Asaphida","Remopleurididae","Remopleurides"
"Mollusca","Cephalopoda","Orthocerida","Orthoceratidae","Michelinoceras"
"Mollusca","Cephalopoda","Oncocerida","","Leonardoceras"
"Mollusca","Cephalopoda","Orthocerida","Baltoceratidae","Bactroceras"
"Porifera","Demospongea","Lithistida","Anthaspidellidae","Calycocoelia"
"Arthropoda","Ostracoda","Palaeocopida","","Leperditella"
"Arthropoda","Ostracoda","Leperditicopida","Leperditiidae","Eoleperditia"
"Arthropoda","Ostracoda","Palaeocopida","","Schmidtella"
"Arthropoda","Ostracoda","Leperditicopida","Leperditiidae","Leperditia (Isochilina)"
"Arthropoda","Ostracoda","Podocopida","","Macrocyproides"
