"phylum","class","order","family","otu"
"Brachiopoda","Strophomenata","Strophomenida","Glyptomenidae","Glyptomenoides"
"Arthropoda","Trilobita","Phacopida","Phacopidae","Calliops"
"Mollusca","Bivalvia","Veneroidei","","Tivellina"
"Bryozoa","Stenolaemata","Cryptostomata","","Goniotrypa"
"Mollusca","Gastropoda","","Phasianellidae","Hiloa"
"Mollusca","Gastropoda","","Rissoidae","Schwartziella"
"Mollusca","Gastropoda","","Turbinidae","Lophocochlias"
"Mollusca","Gastropoda","","Turbinidae","Munditiella"
"Mollusca","Gastropoda","Architaenioglossa","Ampullinidae","Waluia"
"Mollusca","Gastropoda","","Turbinidae","Turbo petholatus"
"Mollusca","Gastropoda","Sorbeoconcha","Dialidae","Diala"
"Arthropoda","Trilobita","Ptychopariida","Catillicephalidae","Onchonotus"
"Arthropoda","Trilobita","Ptychopariida","Ptychopariidae","Ulrichaspis"
"Arthropoda","Trilobita","Ptychopariida","Norwoodiidae","Levisaspis"
"Arthropoda","Trilobita","Phacopida","Pliomeridae","Colobinion"
"Arthropoda","Trilobita","Asaphida","Asaphidae","Stegnopsis"
"Arthropoda","Trilobita","Proetida","Dimeropygidae","Ischyrophyma"
"Arthropoda","Trilobita","Lichida","Lichidae","Apatolichas"
"Echinodermata","Echinoidea","Holectypoida","Discoididae","Lanieria"
"Echinodermata","Echinoidea","Clypeasteroida","Faujasiidae","Lefortia"
"Echinodermata","Echinoidea","Cassiduloida","","Clarkiella"
"Echinodermata","Echinoidea","Holasteroida","Holasteridae","Pseudananchys"
"Echinodermata","Echinoidea","Spatangoida","Spatangidae","Isomicraster"
"Mollusca","Cephalopoda","Ammonitida","Lytoceratidae","Tragolytoceras"
"Arthropoda","Ostracoda","Podocopida","Cytherideidae","Hungarella"
"Mollusca","Bivalvia","Carditida","Astartidae","Astarte (Ashtarotha)"
"Mollusca","Bivalvia","Pandorida","Pandoridae","Pandora (Pandorella)"
"Mollusca","Gastropoda","","Melanellidae","Strombiformis"
"Mollusca","Gastropoda","","Eulimidae","Liostraca"
"Mollusca","Bivalvia","Pandorida","Pandoridae","Clidiophora"
"Mollusca","Bivalvia","Anomalodesmacea","Pholadomyacidae","Margaritaria"
"Mollusca","Bivalvia","Carditida","Condylocardiidae","Erycinella"
"Mollusca","Bivalvia","Veneroidei","Mactridae","Rangia"
"Mollusca","Bivalvia","Pholadida","Pholadidae","Cyrtopleura"
"Mollusca","Bivalvia","Veneroidei","Veneridae","Macrocallista (Macrocallista)"
"Mollusca","Gastropoda","Neogastropoda","Buccinidae","Pisania"
"Mollusca","Gastropoda","","Vitrinellidae","Cyclostremiscus"
"Arthropoda","Trilobita","Redlichiida","Redlichiidae","Spinoredlichia"
"Mollusca","Cephalopoda","Ammonitida","Lytoceratidae","Exomiloceras"
"Mollusca","Cephalopoda","Ammonitida","Arietitidae","Tmaegoceras"
"Mollusca","Cephalopoda","Ammonitida","Echioceratidae","Palaeoechioceras"
"Mollusca","Cephalopoda","Ammonitida","Lytoceratidae","Galaticeras"
"Mollusca","Cephalopoda","Phylloceratida","Phylloceratidae","Hantkeniceras"
"Mollusca","Cephalopoda","Ammonitida","Lytoceratidae","Holcolytoceras"
"Mollusca","Cephalopoda","Ammonitida","Lytoceratidae","Bouhamidoceras"
"Mollusca","Cephalopoda","Ammonitida","Coeloceratidae","Bakonyceras"
"Mollusca","Cephalopoda","Ammonitida","Eoderoceratidae","Paramicroderoceras"
"Mollusca","Gastropoda","Murchisoniina","Murchisoniidae","Vistilia"
"Mollusca","Gastropoda","Architectibranchia","Ringiculidae","Eriptycha"
"Mollusca","Gastropoda","","Littorinidae","Procancellaria"
"Cnidaria","Anthozoa","","Huadianophyllidae","Huadianophyllum"
"Mollusca","Cephalopoda","Ammonitida","Asteroceratidae","Parasteroceras"
"Mollusca","Cephalopoda","Phylloceratida","Juraphyllitidae","Paradasyceras"
"Mollusca","Cephalopoda","Ammonitida","Eoderoceratidae","Callomoniceras"
"Bryozoa","Stenolaemata","Cryptostomata","","Trepocryptopora"
"Brachiopoda","Rhynchonellata","Athyridida","Uncitidae","Uncites"
"Cnidaria","Anthozoa","Scleractinia","Montlivaltiidae","Brevimaeandra"
"Mollusca","Gastropoda","Neogastropoda","Mitridae","Chysame"
"Mollusca","Gastropoda","Neogastropoda","Terebridae","Diplomeriza"
"Mollusca","Gastropoda","Neogastropoda","Terebridae","Triplostephanus"
"Mollusca","Gastropoda","Neogastropoda","Costellariidae","Vexillum (Vexillum)"
"Mollusca","Gastropoda","Neogastropoda","Clavatulidae","Vulpecula"
"Mollusca","Gastropoda","Neogastropoda","Pseudolividae","Hermes"
"Mollusca","Gastropoda","Neogastropoda","Conidae","Cleobula"
"Mollusca","Gastropoda","Neogastropoda","Marginellidae","Canalispira"
"Mollusca","Gastropoda","Neogastropoda","Marginellidae","Volvarina"
"Mollusca","Gastropoda","Neogastropoda","Costellariidae","Pusiolina"
"Mollusca","Gastropoda","","Rissoidae","Rissolina"
"Mollusca","Gastropoda","Neogastropoda","Mitridae","Mitra sowerbyi"
"Mollusca","Gastropoda","Neogastropoda","Turridae","Turridrupa"
"Mollusca","Gastropoda","","Architectonicidae","Nipteraxis"
"Mollusca","Gastropoda","Neogastropoda","Volutidae","Melocorona"
"Mollusca","Gastropoda","Neogastropoda","Marginellidae","Glabrella"
"Mollusca","Gastropoda","Neogastropoda","Conidae","Lautoconus"
"Mollusca","Gastropoda","","Architectonicidae","Spirolaxis"
"Mollusca","Gastropoda","","Rissoidae","Phosinellina"
"Mollusca","Gastropoda","Neogastropoda","Pseudomelaniidae","Ptychobola"
"Mollusca","Gastropoda","","Pyramidellidae","Otopleura"
"Arthropoda","","Decapoda","Geryonidae","Archaeogeryon"
"Mollusca","Gastropoda","","","Peonza"
"Cnidaria","Anthozoa","Scleractinia","Faviidae","Grandifavia"
"Mollusca","Gastropoda","Neogastropoda","Olividae","Lamprodomina"
"Mollusca","Gastropoda","","Naticidae","Grossaulax"
"Cnidaria","Anthozoa","Stauriida","","Hillia"
"Cnidaria","Anthozoa","Stauriida","Petalaxidae","Antheria"
"Cnidaria","Anthozoa","Stauriida","Bothrophyllidae","Bothroclisia"
"Cnidaria","Anthozoa","Stauriida","Waagenophyllidae","Akagophyllum"
"Cnidaria","Anthozoa","Stauriida","Geyerophyllidae","Paracarruthersella"
"Cnidaria","Anthozoa","Stauriida","Polycoeliidae","Empodesma"
"Mollusca","Bivalvia","Ostreida","Ostreidae","Ostrea (Bellostrea)"
"Mollusca","Bivalvia","Lucinida","Lucinidae","Gibbolucina"
